"ZIKA VIRUSNovel Coronavirus (2019-nCoV)SITUATION REPORT - 323 JANUARY 2020",ZIKA VIRU
"",
"",
Novel Coronavirus (2019-nCoV,
SITUATION REPORT - 3,
23 JANUARY 2020,
"",,,Confirmed
WHO Regional Office,Country/Territory/Area,,
"",,,Cases
"",China,Total,571*
"",,Hubei Province,375
"",,Unspecified4,131
"",,Guangdong Province,26
"",,Beijing Municipality,10
"",,Shanghai Municipality,9
"",,Chongqing Municipality,5
"",,Zhejiang Province,5
"",,Jiangxi Province,2
"",,Sichuan Province,2
WHO WPRO Region,,Tianjin Municipality,2
"",,Henan Province,1
"",,Hunan Province,1
"",,Shandong Province,1
"",,Yunnan Province,1
"",,Taipei Municipality,1
"",,Hong Kong Special Administrative,
"",,,1
"",,Region,
"",,Macau Special Administrative Region,1
"",Japan,,1
"",Republic of Korea,,1
WHO SEARO Region,Thailand,,4
WHO AMRO Region,United States of America,,1
Total Confirmed cases,Total,,581
eveloped the surveillance case definitions for human infection with 2019-nCoV and is
pdating it as per the new information becomes available;
"eveloped interim guidance for laboratory diagnosis, clinical management, infection"
"revention and control in health care settings, home care for mild patients, risk"
ommunication and community engagement
repared disease commodity package for supplies necessary in identification and
anagement of confirmed patients;
rovided recommendations to reduce risk of transmission from animals to humans;
pdated the travel advice for international travel in health in relation to the outbreak of
neumonia caused by a new coronavirus in China;
"tilizing global expert networks and partnerships for laboratory, infection prevention and"
"ontrol, clinical management and mathematical modelling;"
"ctivation of R&D blueprint to accelerate diagnostics, vaccines, and therapeutics"
