Data as reported by 7 February 2020*
""
""
HIGHLIGHTS SITUATION IN NUMBERS
total and new cases in last 24
• No new countries reported cases of 2019-nCoV in the past 24 hours.  hours
""
"• To date, a total of 72 States Parties were identified to be implementing travel Globally"
"restrictions through official reports, official statements and the media. Of 31 481 confirmed (3205 new)"
"these 72 States Parties, WHO received 23 (32%) official reports from States"
Parties about their travel restrictions. China
""
31 211 confirmed (3151 new)
• “The Pandemic Supply Chain Network (PSCN)” has commissioned a market
4821 severe (962 new)
assessment of the personal protective equipment market which will be
637 deaths (73 new)
distributed shortly to stakeholders of the PSCN as it continues to monitor the
"market.  Additionally, senior management of WHO spoke with the"
stakeholders of the PSCN to ensure the private sector’s continued  Outside of China
engagement to distribute supplies to those countries in most need. The PSCN 270 confirmed (54 new)
"will encourage manufacturers to increase production, commit supplies to 24 countries"
"frontline health emergency responders, and expand the number of 1 death"
stakeholders who are involved in the PSCN to gain a critical mass of suppliers
to mitigate the operational risks within the market.  WHO will continue to WHO RISK ASSESSMENT
provide the technical guidance and coordination of supplies to those
countries in most need.  China Very High
""
Regional Level High
Global Level High
""
""
"Figure 1. Countries, territories or areas with reported confirmed cases of 2019-nC oV, 7 February 2020"
Hainan,111
Shanxi,96
"",,,,Total,,
"",,,,Total (new) cases,Total (new),
"",,,,(new),,
"",,Confirmed  *,,withcases with possible,cases with site,Total (new)
WHO Region,Country/Territory/Area,,,or confirmed,of transmission,
"",,(new) cases,,travel,,deaths
"",,,,transmission,under,
"",,,,history to outside of China†,investigation,
"",,,,China,,
"",China‡,31 211 (3151),,,,637 (73)
"",Singapore,30 (2),,21 (0) 9 (2),0 (0),0 (0)
Western Pacific Region,,,,,,
0 (0),Japan,25 (0),,21 (0) 4 (0),0 (0),
"",Republic of Korea,24 (1),,11 (1) 11 (0),2 (0),0 (0)
"",Australia,15 (1),,15 (1) 0 (0),0 (0),0 (0)
"",Malaysia,14 (2),,9 (0) 4 (1),1 (1),0 (0)
"",,,,,,
"",Viet Nam,12 (2),,7 (0) 5 (2),0 (0),0 (0)
"",,,,,,
"",Philippines,3 (0),,2 (0) 0 (0),1 (0),1 (0)
"",Cambodia,1 (0),,1 (0) 0 (0),0 (0),0 (0)
"",Thailand,25 (0),,21 (0) 4 (0),0 (0),0 (0)
"",India,3 (0),,3 (0) 0 (0),0 (0),0 (0)
South-East Asia Region,,,,,,
"",Nepal,1 (0),,1 (0) 0 (0),0 (0),0 (0)
"",Sri Lanka,1 (0),,1 (0) 0 (0),0 (0),0 (0)
"",United States of,,,,,
Region of the Americas America,,12 (0),,10 (0) 2 (0),0 (0),0 (0)
"",Canada,7 (2),,6 (2) 0 (0),1 (0),0 (0)
"",Germany,13 (1),,2 (0) 11 (1),0 (0),0 (0)
"",France,6 (0),,5 (0) 1 (0),0 (0),0 (0)
"",Italy,3 (1),,3 (1) 0 (0),0 (0),0 (0)
"",The United Kingdom,3 (1),,1 (0) 2 (1***),0 (0),0 (0)
European Region,Russian Federation,2 (0),,2 (0) 0 (0),0 (0),0 (0)
"",Belgium,1 (0),,1 (0) 0 (0),0 (0),0 (0)
"",Finland,1 (0),,1 (0) 0 (0),0 (0),0 (0)
"",Spain,1 (0),,0 (0) 1§ (0),0 (0),0 (0)
"",Sweden,1 (0),,1 (0) 0 (0),0 (0),0 (0)
Eastern Mediterranean,,,,,,
Region,United Arab Emirates,5 (0),,5 (0) 0 (0),0 (0),0 (0)
International Other,,,,,,
"",conveyance (Japan),61** (41),,0 (0) 0 (0),61 (41),0 (0)
