Cumulative Province/  Daily,
Population,
Region/,
"(10,000s)",
Confirmed Suspected,Confirmed
City cases cases,Deaths cases Deaths
"",
Hubei 5917 499 373,68 64786 2563
Guangdong 11346 2 0,1 1347 7
Henan 9605 0 5,0 1271 19
Zhejiang 5737 0 1,0 1205 1
Hunan 6899 0 1,0 1016 4
Anhui 6324 0 0,0 989 6
Jiangxi 4648 0 0,0 934 1
Shandong 10047 0 0,2 755 6
Jiangsu 8051 0 0,0 631 0
Chongqing 3102 1 13,0 576 6
Sichuan 8341 2 7,0 529 3
Heilongjiang 3773 0 0,0 480 12
Beijing 2154 1 18,0 400 4
Shanghai 2424 0 30,0 335 3
Hebei 7556 0 0,0 311 6
Fujian 3941 1 0,0 294 1
Guangxi 4926 1 3,0 252 2
Shaanxi 3864 0 0,0 245 1
Yunnan 4830 0 9,0 174 2
Hainan 934 0 9,0 168 5
Guizhou 3600 0 0,0 146 2
Tianjin 1560 0 38,0 135 3
Shanxi 3718 1 0,0 133 0
Liaoning 4359 0 9,0 121 1
Jilin 2704 0 14,0 93 1
Gansu 2637 0 0,0 91 2
Hong Kong SAR 745 7 0,0 81 2
Xinjiang 2487 0 0,0 76 2
Inner Mongolia 2534 0 0,0 75 0
Ningxia 688 0 0,0 71 0
Taipei and environs 2359 3 0,0 31 1
Qinghai 603 0 0,0 18 0
Macao SAR 66 0 0,0 10 0
Xizang 344 0 0,0 1 0
Total 142823 518 530,71 77780 2666
"",,,Likely place of exposure‡,,
"",,,Outside,,
"",Confirmed  †,,In reporting,Total cases with site of,Total
Country/Territory/Area,,,China reporting,transmission under,deaths
"",cases (new),,country and,,
"",,,(new) country,investigation (new),(new)
"",,,outside,,
"",,,(new),,
"",,,China (new),,
Western Pacific Region,,,,,
Republic of Korea,977 (214),,13 (0) 4 (0) 605 (0),355 (214),10 (3)
Japan,157 (13),,28 (0) 7 (2) 110 (3),12 (8),1 (0)
Singapore,90 (1),,24 (0) 0 (0) 66 (1),0 (0),0 (0)
Australia,22 (0),,12 (0) 7 (0) 3 (0),0 (0),0 (0)
Malaysia,22 (0),,18 (0) 2 (0) 2 (0),0 (0),0 (0)
Viet Nam,16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
Philippines,3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
Cambodia,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
South-East Asia Region,,,,,
Thailand,37 (2),,23 (0) 0 (0) 7 (1),7 (1),0 (0)
India,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
Nepal,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Sri Lanka,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Region of the Americas,,,,,
United States of America,53 (18),,14 (0) 36 (18) 2 (0),1 (0),0 (0)
Canada,10 (1),,7 (0) 1 (0) 1 (0),1 (1),0 (0)
European Region,,,,,
Italy,229 (105),,3 (0) 0 (0) 121 (0),105 (105),6 (4)
Germany,16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
France,12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
The United Kingdom*,13 (0),,2 (0) 10 (0) 1 (0),0 (0),0 (0)
Israel,2 (1),,0 (0) 2 (1) 0 (0),0 (0),0 (0)
Russian Federation,2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
Spain,2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
Belgium,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Finland,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Sweden,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Eastern Mediterranean Region,,,,,
Iran (Islamic Republic of),61 (18),,0 (0) 0 (0) 28 (0),33 (18),12 (4)
United Arab Emirates,13 (0),,6 (0) 2 (0) 5 (0),0 (0),0 (0)
Bahrain,8 (8),,0 (0) 8 (8) 0 (0),0 (0),0 (0)
Kuwait,8 (5),,0 (0) 8 (5) 0 (0),0 (0),0 (0)
Oman,2 (2),,0 (0) 2 (2) 0 (0),0 (0),0 (0)
Afghanistan,1 (1),,0 (0) 1 (1) 0 (0),0 (0),0 (0)
Egypt,1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
Iraq,1 (1),,0 (0) 1 (1) 0 (0),0 (0),0 (0)
Lebanon,1 (0),,0 (0) 1 (0) 0 (0),0 (0),0 (0)
"",,,,,
Subtotal for all regions,1768 (390),,0 (0) 94 (38) 981 (5),514 (347),31 (11)
International conveyance§,,,,,
"",691 (0),,0 (0) 0 (0) 0 (0),691 (0),3 (0)
(Diamond Princess),,,,,
Grand total,2459 (390),,179 (0) 94 (38) 981 (5),1205 (347),34 (11)
