"Coronavirus disease 2019 (COVID-19)Situation Report – 40"
""
""
"HIGHLIGHTS•Two new Member States (Mexico and San Marino) reported cases of COVID-19 in the past 24 hours.•WHO has published the Rational use of personal protective equipment forCOVID-19.ThisdocumentsummarizesWHOrecommendationsfortheappropriate use of personal protective equipment (PPE) in health care andcommunity settings, including the handling of cargo. More information onInfection Prevention and Control (IPC) activities can be found in the Subject inFocus.",
"",
"",
"HIGHLIGHTS•Two new Member States (Mexico and San Marino) reported cases of COVID-19 in the past 24 hours.•WHO has published the Rational use of personal protective equipment forCOVID-19.ThisdocumentsummarizesWHOrecommendationsfortheappropriate use of personal protective equipment (PPE) in health care andcommunity settings, including the handling of cargo. More information onInfection Prevention and Control (IPC) activities can be found in the Subject inFocus."
""
"HIGHLIGHTS•Two new Member States (Mexico and San Marino) reported cases of COVID-19 in the past 24 hours.•WHO has published the Rational use of personal protective equipment forCOVID-19.ThisdocumentsummarizesWHOrecommendationsfortheappropriate use of personal protective equipment (PPE) in health care andcommunity settings, including the handling of cargo. More information onInfection Prevention and Control (IPC) activities can be found in the Subject inFocus."
""
"SITUA TION IN NUMBERStotal and new cases in last 24hoursGlobally85 403 confirmed (1753 new)China79 394 confirmed (435 new)2838 deaths (47 new)Outside of China6009 confirmed (1318 new)53 countries (2 new)86 deaths (19 new)WHO RISK ASSESSMENTChinaVery HighRegional LevelVery HighGlobal LevelVery High"
"",
"",
"",
Cumulative Province/  Daily,
Population,
Region/,
"(10,000s)",
Confirmed Suspected,Confirmed
City cases cases,Deaths cases Deaths
"",
Hubei 5917 423 159,45 66337 2727
Guangdong 11346 1 0,0 1349 7
Henan 9605 0 0,1 1272 21
Zhejiang 5737 0 0,0 1205 1
Hunan 6899 1 1,0 1018 4
Anhui 6324 0 0,0 990 6
Jiangxi 4648 0 1,0 935 1
Shandong 10047 0 0,0 756 6
Jiangsu 8051 0 0,0 631 0
Chongqing 3102 0 7,0 576 6
Sichuan 8341 0 2,0 538 3
Heilongjiang 3773 0 0,0 480 13
Beijing 2154 1 9,1 411 8
Shanghai 2424 0 28,0 337 3
Hebei 7556 0 0,0 318 6
Fujian 3941 0 0,0 296 1
Guangxi 4926 0 0,0 252 2
Shaanxi 3864 0 0,0 245 1
Yunnan 4830 0 3,0 174 2
Hainan 934 0 5,0 168 5
Guizhou 3600 0 1,0 146 2
Tianjin 1560 0 14,0 136 3
Shanxi 3718 0 0,0 133 0
Liaoning 4359 0 15,0 121 1
Hong Kong SAR 745 1 0,0 94 2
Jilin 2704 0 3,0 93 1
Gansu 2637 0 0,0 91 2
Xinjiang 2487 0 0,0 76 3
Inner Mongolia 2534 0 0,0 75 0
Ningxia 688 1 0,0 73 0
Taipei and environs 2359 7 0,0 39 1
Qinghai 603 0 0,0 18 0
Macao SAR 66 0 0,0 10 0
Xizang 344 0 0,0 1 0
Total 142823 435 248,47 79394 2838
"",Total confirmed*,Total deaths,Transmission,Days since last
Country,,,,
"",cases (new),(new),classification†,reported case
Western Pacific Region,,,,
Republic of Korea,3150 (813),17 (4),Local transmission,0
Japan,230 (20),5 (1),Local transmission,0
Singapore,98 (2),0 (0),Local transmission,0
Australia,24 (1),0 (0),Local transmission,0
Malaysia,24 (0),0 (0),Local transmission,1
Viet Nam,16 (0),0 (0),Local transmission,16
Philippines,3 (0),1 (0),Imported cases only,25
Cambodia,1 (0),0 (0),Imported cases only,33
New Zealand,1 (0),0 (0),Imported cases only,1
European Region,,,,
Italy,888 (238),21 (4),Local transmission,0
Germany,57 (31),0 (0),Local transmission,0
France,57 (19),2 (0),Local transmission,0
Spain,32 (7),0 (0),Local transmission,0
The United Kingdom,20 (4),0 (0),Local transmission,0
Sweden,12 (5),0 (0),Imported cases only,0
Switzerland,10 (4),0 (0),Imported cases only,0
Norway,6 (2),0 (0),Imported cases only,0
Croatia,5 (2),0 (0),Local transmission,0
Israel,5 (2),0 (0),Imported cases only,0
Austria,5 (1),0 (0),Imported cases only,0
Romania,3 (2),0 (0),Imported cases only,0
Greece,3 (0),0 (0),Imported cases only,1
Denmark,2 (1),0 (0),Imported cases only,0
Georgia,2 (1),0 (0),Imported cases only,0
Netherlands,2 (1),0 (0),Imported cases only,0
Finland,2 (0),0 (0),Imported cases only,3
Russian Federation,2 (0),0 (0),Imported cases only,29
San Marino,1 (1),0 (0),Local transmission,0
North Macedonia,1 (0),0 (0),Imported cases only,3
Estonia,1 (0),0 (0),Imported cases only,2
Lithuania,1 (0),0 (0),Imported cases only,1
Belarus,1 (0),0 (0),Imported cases only,1
Belgium,1 (0),0 (0),Imported cases only,25
South-East Asia Region,,,,
Thailand,42 (2),0 (0),Local transmission,0
India,3 (0),0 (0),Imported cases only,26
Nepal,1 (0),0 (0),Imported cases only,47
Sri Lanka,1 (0),0 (0),Imported cases only,33
Eastern Mediterranean Region,,,,
Iran (Islamic Republic of),388 (143),34 (8),Local transmission,0
Kuwait,45 (2),0 (0),Imported cases only,0
Bahrain,38 (5),0 (0),Imported cases only,0
United Arab Emirates,19 (0),0 (0),Local transmission,1
Iraq,8 (1),0 (0),Imported cases only,0
Oman,6 (0),0 (0),Imported cases only,1
Lebanon,2 (0),0 (0),Imported cases only,3
Pakistan,2 (0),0 (0),Imported cases only,3
Afghanistan,1 (0),0 (0),Imported cases only,5
Egypt,1 (0),0 (0),Imported cases only,15
Region of the Americas,,,,
United States of America,62 (3),0 (0),Local transmission,0
Canada,14 (3),0 (0),Imported cases only,0
Mexico,2 (2),0 (0),Imported cases only,0
Brazil,1 (0),0 (0),Imported cases only,3
African Region,,,,
Algeria,1 (0),0 (0),Imported cases only,4
Nigeria,1 (0),0 (0),Imported cases only,1
Subtotal for all regions,5304 (1318),80 (17),,
International conveyance,,,,
"",705 (0),6 (2),Local transmission,3
(Diamond Princess) ‡,,,,
Grand total§,6009 (1318),86 (19),,
