"SITUATION IN NUMBERStotal (new) cases in last 24 hoursGlobally413 467 confirmed (40 712)18 433 deaths (2202)Western Pacific Region97 766 confirmed (1186)3518 deaths (16)European Region220 516 confirmed (25 007)11 986 deaths (1797)South-East Asia Region2344 confirmed (354)72 deaths (7)Eastern Mediterranean Region29 631 confirmed (2416)2008 deaths (131)Region of the Americas60 834 confirmed (11 390)813 deaths (248)African Region1664 confirmed (359)29 deaths (3)WHO RISK ASSESSMENTGlobal LevelVery High",
"HIGHLIGHTS•Two new countries/territories/areas from the Western Pacific Region [1], andEastern Mediterranean Region [1] have reported cases of COVID-19.•OpenWHO released its introductory video on COVID-19 in Indian signlanguage yesterday, which is the first sign language resource on the platform.The video already has nearly 900 enrolments. Courses in additional languagescan be found here.•As the world tackles the COVID-19 pandemic, it is important to ensure thatessential health services and operations continue to be available to protectthe lives of people with malaria, TB and other diseases or health conditions.More information can be found here and here.•EPI-WIN, WHO’s information network for epidemics, makes easy-to-understand advice and information available on a dedicated page on the WHOwebsite. EPI-WIN is also providing employers and workers with timelyinformation through regular calls. More information can be found on the webhere and in Subject in Focus.",
•OpenWHO released its introductory video on COVID-19 in Indian sign,
"language yesterday, which is the first sign language resource on the platform.",
The video already has nearly 900 enrolments. Courses in additional languages,
"",
can be found here.,
"•As the world tackles the COVID-19 pandemic, it is important to ensure that",
essential health services and operations continue to be available to protect,
"the lives of people with malaria, TB and other diseases or health conditions.",
More information can be found here and here.,
"•EPI-WIN, WHO’s information network for epidemics, makes easy-to-",
understand advice and information available on a dedicated page on the WHO,
website. EPI-WIN is also providing employers and workers with timely,
information through regular calls. More information can be found on the web,
here and in Subject in Focus.,
"HIGHLIGHTS•Two new countries/territories/areas from the Western Pacific Region [1], andEastern Mediterranean Region [1] have reported cases of COVID-19.•OpenWHO released its introductory video on COVID-19 in Indian signlanguage yesterday, which is the first sign language resource on the platform.The video already has nearly 900 enrolments. Courses in additional languagescan be found here.•As the world tackles the COVID-19 pandemic, it is important to ensure thatessential health services and operations continue to be available to protectthe lives of people with malaria, TB and other diseases or health conditions.More information can be found here and here.•EPI-WIN, WHO’s information network for epidemics, makes easy-to-understand advice and information available on a dedicated page on the WHOwebsite. EPI-WIN is also providing employers and workers with timelyinformation through regular calls. More information can be found on the webhere and in Subject in Focus."
"•As the world tackles the COVID-19 pandemic, it is important to ensure that"
essential health services and operations continue to be available to protect
"the lives of people with malaria, TB and other diseases or health conditions."
More information can be found here and here.
"HIGHLIGHTS•Two new countries/territories/areas from the Western Pacific Region [1], andEastern Mediterranean Region [1] have reported cases of COVID-19.•OpenWHO released its introductory video on COVID-19 in Indian signlanguage yesterday, which is the first sign language resource on the platform.The video already has nearly 900 enrolments. Courses in additional languagescan be found here.•As the world tackles the COVID-19 pandemic, it is important to ensure thatessential health services and operations continue to be available to protectthe lives of people with malaria, TB and other diseases or health conditions.More information can be found here and here.•EPI-WIN, WHO’s information network for epidemics, makes easy-to-understand advice and information available on a dedicated page on the WHOwebsite. EPI-WIN is also providing employers and workers with timelyinformation through regular calls. More information can be found on the webhere and in Subject in Focus."
"•EPI-WIN, WHO’s information network for epidemics, makes easy-to-"
understand advice and information available on a dedicated page on the WHO
website. EPI-WIN is also providing employers and workers with timely
information through regular calls. More information can be found on the web
here and in Subject in Focus.
"HIGHLIGHTS•Two new countries/territories/areas from the Western Pacific Region [1], andEastern Mediterranean Region [1] have reported cases of COVID-19.•OpenWHO released its introductory video on COVID-19 in Indian signlanguage yesterday, which is the first sign language resource on the platform.The video already has nearly 900 enrolments. Courses in additional languagescan be found here.•As the world tackles the COVID-19 pandemic, it is important to ensure thatessential health services and operations continue to be available to protectthe lives of people with malaria, TB and other diseases or health conditions.More information can be found here and here.•EPI-WIN, WHO’s information network for epidemics, makes easy-to-understand advice and information available on a dedicated page on the WHOwebsite. EPI-WIN is also providing employers and workers with timelyinformation through regular calls. More information can be found on the webhere and in Subject in Focus."
•OpenWHO released its introductory video on COVID-19 in Indian sign
"language yesterday, which is the first sign language resource on the platform."
The video already has nearly 900 enrolments. Courses in additional languages
""
can be found here.
""
""
"",The
International Organization of Employers alone reaches 50 million businesses in 150 countries.  Among several other,
"entities and organizations, EPI-WIN has strong links with trade unions through the International Labour Organization",
"(ILO)’s the Bureau of Workers’ Activities (ACTRAV), the International Trade Union Confederation and the global",
"sectoral unions, reaching over 210 million workers and their families in 163 countries.",
"",
"To best respond to the need for timely information of these different audiences, EPI-WIN conducts regular calls with",
"the different sectors. On March 23rd, WHO and the International Occupational Medicine Society Collaboration",
(IOMSC) conducted a webinar on “Occupational Health Measures in the Preparedness and Response to COVID19 in,
the Workplace.” Approximately 225 participants registered for the webinar including IOMSC Occupational Medical,
Society members as well as other Occupational Medical Society physician leaders from around the world. Participant,
questions were notably around the themes of: workplace transmission of COVID-19; the use of masks and other,
personal protective equipment (PPE) by healthcare and other public-facing workers; the use of rapid tests for COVID-,
19 to screen workers in workplaces; “Return to Work” guidance; and mental health and psychosocial impacts in,
"workplaces, in particular health facilities.",
"",
"Two additional webinars are scheduled for Thursday, 26 March the first with the European Federation of Public",
"Service Unions (EPSU), representing 8 million workers, and the second a videoconference with the International",
Organization of Employers (IOE): “Summit on the collaboration of the private sector with health systems in,
emergency situations.”,
"",Total,Total,,Total,,Days since last
Reporting Country/,,,Total,,Transmission,
Territory/Area  †,confirmed ‡  cases,confirmed new cases,deaths,new deaths,classification§,reported case
Western Pacific Region,,,,,,
China,81848,101,3287,4,Local transmission,0
Republic of Korea,9137,100,126,6,Local transmission,0
Australia,2252,543,8,1,Local transmission,0
Malaysia,1624,106,16,2,Local transmission,0
Japan,1193,65,43,1,Local transmission,0
Singapore,558,51,2,0,Local transmission,0
Philippines,552,90,35,2,Local transmission,0
New Zealand,189,87,0,0,Local transmission,0
Viet Nam,134,11,0,0,Local transmission,0
Brunei Darussalam,104,13,0,0,Local transmission,0
Cambodia,91,4,0,0,Local transmission,0
Mongolia,10,0,0,0,Imported cases only,3
Fiji,4,1,0,0,Local transmission,0
Lao People's,,,,,,
"",2,2,0,0,Under investigation,0
Democratic Republic,,,,,,
Papua New Guinea,1,0,0,0,Imported cases only,4
Territories**,,,,,,
Guam,32,3,1,0,Local transmission,0
French Polynesia,25,7,0,0,Local transmission,0
New Caledonia,10,2,0,0,Local transmission,0
European Region,,,,,,
Italy,69176,5249,6820,743,Local transmission,0
Spain,39673,6584,2696,514,Local transmission,0
Germany,31554,2342,149,23,Local transmission,0
France,22025,2410,1100,240,Local transmission,0
Switzerland,8789,774,86,20,Local transmission,0
The United Kingdom,8081,1427,422,87,Local transmission,0
Netherlands,5560,811,276,63,Local transmission,0
Austria,5282,796,30,5,Local transmission,0
Belgium,4269,526,122,34,Local transmission,0
Norway,2566,195,10,2,Local transmission,0
Portugal,2362,302,33,10,Local transmission,0
Sweden,2272,256,36,11,Local transmission,0
Israel,2170,932,5,4,Local transmission,0
Turkey,1872,343,44,7,Local transmission,0
Denmark,1591,131,32,8,Local transmission,0
Czechia,1394,158,3,2,Local transmission,0
Ireland,1329,204,7,1,Local transmission,0
Luxembourg,1099,224,8,0,Local transmission,0
Poland,901,152,10,2,Local transmission,0
Finland,792,92,1,0,Local transmission,0
Romania,762,186,11,4,Local transmission,0
Greece,743,48,20,3,Local transmission,0
Russian Federation,658,220,0,0,Local transmission,0
Iceland,648,60,2,0,Local transmission,0
Slovenia,480,38,3,2,Local transmission,0
Croatia,382,76,1,1,Local transmission,0
Estonia,369,17,0,0,Local transmission,0
Serbia,303,54,3,1,Local transmission,0
Armenia,265,30,0,0,Local transmission,0
Hungary,226,39,10,2,Local transmission,0
Bulgaria,220,19,3,0,Local transmission,0
Lithuania,209,30,2,1,Local transmission,0
Slovakia,204,13,0,0,Local transmission,0
Latvia,197,17,0,0,Local transmission,0
Andorra,188,24,1,0,Local transmission,0
San Marino,187,0,21,1,Local transmission,1
"Bosnia andHerzegovina",164,33,2,1,Local transmission,0
North Macedonia,148,12,2,0,Local transmission,0
Albania,146,23,5,1,Local transmission,0
Republic of Moldova,125,16,1,0,Local transmission,0
Cyprus,124,8,3,3,Local transmission,0
Malta,120,13,0,0,Local transmission,0
Ukraine,113,29,4,1,Local transmission,0
Azerbaijan,87,15,1,0,Local transmission,0
Belarus,81,0,0,0,Local transmission,1
Kazakhstan,79,16,0,0,Imported cases only,0
Georgia,73,6,0,0,Local transmission,0
Uzbekistan,50,4,0,0,Local transmission,0
Liechtenstein,47,1,0,0,Imported cases only,0
Kyrgyzstan,42,26,0,0,Local transmission,0
Montenegro,29,7,0,0,Imported cases only,0
Monaco,23,0,0,0,Local transmission,2
Holy See,1,0,0,0,Under investigation,18
"",erritories**,,,,,
Faroe Islands,122,4,0,0,Local transmission,0
Kosovo[1],63,2,1,0,Local transmission,0
Guernsey,23,3,0,0,Local transmission,0
Isle of Man,23,10,0,0,Imported cases only,0
Jersey,16,0,0,0,Local transmission,1
Gibraltar,15,0,0,0,Local transmission,2
Greenland,4,0,0,0,Under investigation,1
"",outh-East Asia Region,,,,,
Thailand,934,107,4,0,Local transmission,0
Indonesia,686,107,55,6,Local transmission,0
India,562,128,9,0,Local transmission,0
Sri Lanka,102,5,0,0,Local transmission,0
Bangladesh,39,6,4,1,Local transmission,0
Maldives,13,0,0,0,Local transmission,9
Myanmar,3,1,0,0,Imported cases only,0
Bhutan,2,0,0,0,Imported cases only,5
Nepal,2,0,0,0,Imported cases only,1
Timor-Leste,1,0,0,0,Imported cases only,4
"",astern Mediterranean Region,,,,,
"Iran (Islamic Republicof)",24811,1762,1934,122,Local transmission,0
Pakistan,991,104,7,1,Local transmission,0
Saudi Arabia,767,205,1,1,Local transmission,0
Qatar,526,25,0,0,Local transmission,0
Egypt,402,36,20,1,Local transmission,0
Bahrain,392,15,3,1,Local transmission,0
Iraq,316,50,27,4,Local transmission,0
Lebanon,304,37,4,0,Local transmission,0
United Arab Emirates,248,50,2,0,Local transmission,0
Kuwait,195,4,0,0,Local transmission,0
Morocco,170,27,5,1,Local transmission,0
Jordan,153,26,0,0,Imported cases only,0
Tunisia,114,25,3,0,Local transmission,0
Oman,99,15,0,0,Local transmission,0
Afghanistan,74,32,1,0,Imported cases only,0
Djibouti,3,0,0,0,Imported cases only,1
Sudan,3,1,1,0,Imported cases only,0
Libya,1,1,0,0,Imported cases only,0
Somalia,1,0,0,0,Imported cases only,8
Syrian Arab Republic,1,0,0,0,Imported cases only,2
"",Territories**,,,,,
"occupied Palestinianterritory",60,1,0,0,Local transmission,0
"",Region of the Americas,,,,,
