Two new Member States (Comoros and Tajikistan) reported cases of COVID-19 in the past 24 hours.
The third meeting of the Emergency Committee was convened by the WHO Director-General under the
International Health Regulations (2005) (IHR) regarding COVID-19.
"The WHO Regional Director for Europe, Dr. Hans Henri P. Kluge mentioned that “we will defeat COVID-"
"19 by disseminating knowledge in all transparency, by personalized support in the field and by"
"unfailing solidarity”. In another statement, he emphasized that “we cannot allow the impact of COVID-"
19 to be amplified by neglecting other vital health protection measures”.
The WHO Regional Office for the Americas urged health authorities to take specific steps to protect
health care workers and communities during essential immunization activities throughout the COVID-
19 pandemic.
WHO virtually convened vaccine manufacturers and national regulatory authorities from its South-
East Asia Region to discuss COVID-19 vaccines.
"In the Subject in Focus below, we describe WHO’s work to ensure that shipping and seafarers can"
"continue to deliver vital goods, including medical supplies and food during the COVID-19 pandemic"
""
""
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,5647,297,103,0,Community transmission,0
Algeria,4006,158,450,6,Community transmission,0
Ghana,2074,403,17,1,Clusters of cases,0
Nigeria,1932,400,58,14,Community transmission,0
Cameroon,1832,26,61,2,Clusters of cases,0
Guinea,1495,144,7,0,Community transmission,0
Côte d’Ivoire,1275,37,14,0,Clusters of cases,0
Senegal,933,51,9,0,Clusters of cases,0
Niger,719,6,32,0,Clusters of cases,0
Burkina Faso,645,7,43,1,Community transmission,0
Democratic Republic of the,,,,,,
Congo,572,72,31,0,Clusters of cases,0
Mali,490,8,26,1,Clusters of cases,0
United Republic of Tanzania,480,0,17,1,Clusters of cases,1
Kenya,396,12,17,2,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,4
Equatorial Guinea,315,0,2,1,Clusters of cases,2
Gabon,276,0,3,0,Clusters of cases,1
Rwanda,243,18,0,0,Clusters of cases,0
Congo,220,0,9,0,Clusters of cases,1
Guinea-Bissau,201,124,1,0,Sporadic cases,0
Liberia,141,0,16,0,Clusters of cases,2
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Madagascar,132,4,,0,0,Clusters of cases,0
Ethiopia,131,1,,3,0,Clusters of cases,0
Sierra Leone,124,8,,7,2,Clusters of cases,0
Cabo Verde,121,8,,1,0,Sporadic cases,0
Togo,116,7,,9,2,Clusters of cases,0
Zambia,106,9,,3,0,Sporadic cases,0
Eswatini,100,9,,1,0,Sporadic cases,0
Benin,84,15,,2,0,Sporadic cases,0
Uganda,81,2,,0,0,Sporadic cases,0
Mozambique,76,0,,0,0,Sporadic cases,4
Chad,73,21,,3,1,Sporadic cases,0
Central African Republic,64,14,,0,0,Sporadic cases,0
Eritrea,39,0,,0,0,Sporadic cases,12
Malawi,37,1,,3,0,Sporadic cases,0
South Sudan,35,1,,0,0,Sporadic cases,0
Zimbabwe,32,0,,4,0,Sporadic cases,2
Angola,27,0,,2,0,Sporadic cases,3
Botswana,23,0,,1,0,Sporadic cases,2
Namibia,16,0,,0,0,Sporadic cases,25
São Tomé and Príncipe,16,5,,1,1,Sporadic cases,0
Burundi,15,0,,1,0,Sporadic cases,4
Gambia,12,1,,1,0,Sporadic cases,0
Seychelles,11,0,,0,0,Sporadic cases,24
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Mauritania,8,1,1,,0,Sporadic cases,0
Comoros,1,1,0,,0,Pending,0
Territoriesii,,,,,,,
Mayotte,539,79,4,,0,Clusters of cases,0
Réunion,420,0,0,,0,Clusters of cases,1
Americas,,,,,,,
United States of America,1035353,31379,55337,,2909,Community transmission,0
Brazil,78162,6276,5466,,449,Community transmission,0
Canada,52056,1693,3082,,178,Community transmission,0
Peru,33931,2741,943,,89,Community transmission,0
Ecuador,24934,259,900,,17,Community transmission,0
Mexico,17799,1047,1732,,163,Community transmission,0
Chile,16023,1138,227,,11,Community transmission,0
Dominican Republic,6972,320,301,,8,Community transmission,0
Panama,6378,178,178,,2,Community transmission,0
Colombia,6211,262,278,,9,Community transmission,0
Argentina,4304,103,215,,8,Community transmission,0
Cuba,1501,34,61,,3,Clusters of cases,0
Bolivia (Plurinational State of),1110,57,59,,4,Clusters of cases,0
Honduras,771,33,71,,5,Clusters of cases,0
Costa Rica,713,8,6,,0,Clusters of cases,0
Uruguay,630,5,15,,0,Clusters of cases,0
Guatemala,585,28,16,,0,Clusters of cases,0
Jamaica,396,15,7,,0,Clusters of cases,0
"",,,,,,,,,,,,,,,,,,
"",Reporting Country/,,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since las,
Territory/Area,cases,new cases,classificationi,reported cas,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
"",,,,,,
"",Territoriesii,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Bermuda,111,0,6,,0,Clusters of cases,1
Aruba,100,0,2,,0,Clusters of cases,8
Sint Maarten,76,1,13,,0,Clusters of cases,0
Cayman Islands,73,0,1,,0,Clusters of cases,1
United States Virgin Islands,66,4,4,,0,Clusters of cases,0
Saint Martin,38,0,3,,0,Sporadic cases,8
Curaçao,16,0,1,,0,Sporadic cases,3
Falkland Islands (Malvinas),13,0,0,,0,Clusters of cases,5
Turks and Caicos Islands,12,0,1,,0,Sporadic cases,3
Montserrat,11,0,1,,0,Sporadic cases,17
"Bonaire, Sint Eustatius and",,,,,,,
Saba,6,0,0,,0,Sporadic cases,3
British Virgin Islands,6,0,1,,0,Sporadic cases,5
Saint Barthélemy,6,0,0,,0,Sporadic cases,31
Anguilla,3,0,0,,0,Sporadic cases,27
Saint Pierre and Miquelon,1,0,0,,0,Sporadic cases,23
Eastern Mediterranean,,,,,,,
Iran (Islamic Republic of),94640,983,6028,,71,Community transmission,0
Saudi Arabia,22753,1351,162,,5,Clusters of cases,0
