""
WHO has published new guidance on Surveillance strategies for COVID-19 human infection. The
document provides an overview of surveillance strategies that Member States should consider as part of
comprehensive national surveillance for COVID-19. It also emphasise the need to adapt and reinforce
existing national systems where appropriate and to scale-up surveillance capacities as needed.
WHO has published new guidance on Contact tracing in the context of COVID-19. When systematically
"applied, the guidance will help break the chains of transmission of COVID-19 and other infectious disease"
and is thus an essential public health tool for controlling infectious disease outbreaks.
"In today’s ‘Subject in Focus’,  WHO provides an update on the work of the Emergency Medical Teams,"
"the Global Outbreak Alert and Response Network, and Risk Communication and Community"
Engagement.
""
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,10 015,595,194,8,Community transmission,0
Algeria,5723,165,502,8,Community transmission,0
Nigeria,4399,248,143,15,Community transmission,0
Ghana,4263,0,22,0,Community transmission,1
Cameroon,2579,244,114,4,Clusters of cases,0
Guinea,2146,104,11,0,Community transmission,0
Senegal,1709,75,19,2,Clusters of cases,0
Côte d’Ivoire,1700,33,21,0,Clusters of cases,0
Democratic Republic of the,,,,,,
Congo,1024,33,41,0,Clusters of cases,0
Niger,821,6,46,1,Clusters of cases,0
Burkina Faso,751,3,49,1,Community transmission,0
Mali,704,12,38,1,Clusters of cases,0
Kenya,672,23,32,2,Clusters of cases,0
Gabon,661,0,8,0,Clusters of cases,1
Guinea-Bissau,642,0,3,0,Sporadic cases,1
United Republic of Tanzania,509,0,21,0,Clusters of cases,3
Equatorial Guinea,439,0,4,0,Clusters of cases,5
Mauritius,332,0,10,0,Community transmission,14
Chad,322,0,31,0,Sporadic cases,1
Benin,319,35,2,0,Sporadic cases,0
Sierra Leone,307,16,18,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Congo,287,0,10,0,Clusters of cases,2
Rwanda,284,4,0,0,Clusters of cases,0
Zambia,267,15,7,3,Sporadic cases,0
Cabo Verde,246,10,2,0,Sporadic cases,0
Ethiopia,239,29,5,0,Clusters of cases,0
Liberia,204,5,20,0,Clusters of cases,0
Central African Republic,179,36,0,0,Sporadic cases,0
Togo,173,20,11,1,Clusters of cases,0
Eswatini,172,9,2,0,Sporadic cases,0
Madagascar,169,0,0,0,Clusters of cases,2
São Tomé and Príncipe,165,0,4,0,Sporadic cases,1
South Sudan,156,36,0,0,Sporadic cases,0
Uganda,121,5,0,0,Sporadic cases,0
Mozambique,91,4,0,0,Sporadic cases,0
Malawi,56,0,3,0,Sporadic cases,1
Angola,45,2,2,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,22
