""
WHO has published a new guidance on Considerations for school-related public health measures in the
context of COVID-19 as an annex to earlier guidance on adjusting public health and social measures
published on 15 April 2020.
WHO has issued a Statement on Tobacco use and COVID-19. Tobacco smoking is a known risk factor for
many respiratory infections and increases the severity of respiratory diseases. A review of studies by
public health experts convened by WHO found that smokers are more likely to develop severe disease
"with COVID-19, compared to non-smokers. WHO urges researchers, scientists and the media to be"
cautious about amplifying unproven claims that tobacco or nicotine could reduce the risk of COVID-19.
"The Director-General Dr. Tedros in his media briefing yesterday, urged a slow, steady, lifting of public"
"health and social measures (so called lockdowns), which is key to stimulating economies, while also"
keeping a vigilant eye on the virus so that control measures can be quickly implemented if an upswing in
cases is identified.
"In the ‘Subject in Focus’ below, WHO Operations and Support Logistics (OSL), in collaboration with a"
"technical network of universities, architects, biomedical engineers and other health experts, is working"
"to support the establishment of COVID-19 treatment centres, self-quarantine and community facilities at"
the request of countries seeking technical guidance in setting up such facilities.
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,10 652,637,206,12,Community transmission,0
Algeria,5 891,168,507,5,Community transmission,0
Ghana,4 700,437,22,0,Community transmission,0
Nigeria,4 641,242,150,7,Community transmission,0
Cameroon,2 579,0,114,0,Clusters of cases,1
Guinea,2 146,0,11,0,Community transmission,1
Senegal,1 886,177,19,0,Clusters of cases,0
Côte d’Ivoire,1 730,30,21,0,Clusters of cases,0
Democratic Republic of the,,,,,,
Congo,1 102,78,44,3,Clusters of cases,0
Niger,832,11,46,0,Clusters of cases,0
Gabon,802,141,9,1,Clusters of cases,0
Guinea-Bissau,761,119,3,0,Sporadic cases,0
Burkina Faso,760,9,50,1,Community transmission,0
Mali,712,8,39,1,Clusters of cases,0
Kenya,700,28,33,1,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Clusters of cases,4
Equatorial Guinea,439,0,4,0,Clusters of cases,6
Sierra Leone,338,31,19,1,Clusters of cases,0
Congo,333,46,11,1,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,15
Chad,322,0,31,0,Sporadic cases,2
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Benin,319,0,2,0,Sporadic cases,1
Rwanda,285,1,0,0,Clusters of cases,0
Zambia,267,0,7,0,Sporadic cases,1
Cabo Verde,260,14,2,0,Sporadic cases,0
Ethiopia,250,11,5,0,Clusters of cases,0
Liberia,211,7,20,0,Clusters of cases,0
Madagascar,186,17,0,0,Clusters of cases,0
Togo,181,8,11,0,Clusters of cases,0
Central African Republic,179,0,0,0,Sporadic cases,1
