"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,otal confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,ransmission,,,Days since last,
"",ases,new cases,lassificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Mauritius,332,0,10,0,Clusters of cases,16
Benin,327,8,2,0,Community transmission,0
Rwanda,286,1,0,0,Sporadic cases,0
Cabo Verde,270,10,2,0,Clusters of cases,0
Ethiopia,261,11,5,0,Clusters of cases,0
Liberia,212,1,20,0,Community transmission,0
Togo,199,18,11,0,Community transmission,0
Madagascar,192,6,0,0,Clusters of cases,0
Eswatini,184,9,2,0,Clusters of cases,0
Central African Republic,179,0,0,0,Sporadic cases,2
South Sudan,174,0,0,0,Clusters of cases,1
São Tomé and Príncipe,165,0,4,0,Clusters of cases,3
Uganda,126,4,0,0,Sporadic cases,0
Mozambique,104,1,0,0,Clusters of cases,0
Malawi,58,1,3,0,Clusters of cases,0
Angola,45,0,2,0,Clusters of cases,2
Eritrea,39,0,0,0,Sporadic cases,24
Zimbabwe,37,1,4,0,Sporadic cases,0
Burundi,27,8,1,0,Clusters of cases,0
Botswana,24,0,1,0,Clusters of cases,1
Gambia,23,1,1,0,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,37
Comoros,11,0,1,0,Community transmission,3
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Seychelles,11,0,0,0,Clusters of cases,36
Mauritania,8,0,1,0,Sporadic cases,12
Territoriesii,,,,,,
Mayotte,1 095,34,12,0,Clusters of cases,0
Réunion,437,1,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 322 054,23 767,79 634,982,Community transmission,0
Brazil,168 331,5 632,11 519,396,Community transmission,0
Canada,70 342,1 186,5 049,143,Community transmission,0
Peru,68 822,1 515,1 961,72,Community transmission,0
Mexico,36 327,1 305,3 573,108,Community transmission,0
Chile,31 721,1 658,335,12,Community transmission,0
Ecuador,30 419,910,2 327,182,Community transmission,0
Colombia,11 613,550,479,16,Community transmission,0
Dominican Republic,10 900,266,402,9,Community transmission,0
Panama,8 616,168,249,5,Community transmission,0
Argentina,6 278,244,317,12,Community transmission,0
Bolivia (Plurinational State of),2 831,275,122,4,Clusters of cases,0
Honduras,2 100,128,116,8,Community transmission,0
Cuba,1 804,21,78,1,Clusters of cases,0
Guatemala,1 114,62,26,0,Clusters of cases,0
El Salvador,998,40,18,1,Clusters of cases,0
Costa Rica,801,9,7,1,Clusters of cases,0
Paraguay,737,13,10,0,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Uruguay,711,4,19,0,Clusters of cases,0
Jamaica,505,3,9,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),422,8,10,0,Clusters of cases,0
Haiti,209,27,16,1,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,15
Guyana,109,5,10,0,Clusters of cases,0
Bahamas,93,1,11,0,Clusters of cases,0
Barbados,84,0,7,0,Clusters of cases,2
Antigua and Barbuda,25,0,3,0,Clusters of cases,9
Grenada,21,0,0,0,Clusters of cases,9
Belize,18,0,2,0,Sporadic cases,28
Saint Lucia,18,0,0,0,Sporadic cases,8
Saint Vincent and the Grenadines,17,0,0,0,Sporadic cases,8
Dominica,16,0,0,0,Clusters of cases,32
Nicaragua,16,0,5,0,Pending,6
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,22
Suriname,10,0,1,0,Sporadic cases,39
Territoriesii,,,,,,
Puerto Rico,2 299,43,114,1,Clusters of cases,0
Martinique,187,0,14,0,Clusters of cases,2
Guadeloupe,155,1,13,0,Clusters of cases,0
French Guiana,146,2,1,0,Clusters of cases,0
Bermuda,119,1,8,1,Clusters of cases,0
Aruba,101,0,3,0,Sporadic cases,7
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Cayman Islands,84,3,1,0,Clusters of cases,0
Sint Maarten,77,0,15,0,Sporadic cases,3
United States Virgin Islands,69,0,5,0,Clusters of cases,2
Saint Martin,39,0,3,0,Sporadic cases,2
Curaçao,16,0,1,0,Sporadic cases,15
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,17
Turks and Caicos Islands,12,0,1,0,Sporadic cases,15
