Lesotho reported its first case of COVID-19.
WHO has published an interim guidance document on Laboratory biosafety for testing of clinical
specimens of patients that meet the case definition of coronavirus disease (COVID-19).
"WHO Director-General Dr. Tedros in his media briefing yesterday, highlighted the urgent need for all"
"countries to invest in strong health systems and primary healthcare, as the best defence against"
"outbreaks like COVID-19.  The World Health Statistics published by WHO,  show that people around the"
world are living longer and healthier lives overall with the biggest gains in low-income countries.
"However, the report also shows that the rate of progress is too slow to meet the Sustainable"
Development Goals and will be further thrown off track by COVID-19.
WHO announced the launch of the WHO Academy and the WHO info mobile applications . The WHO
Academy app is designed to support health workers during COVID-19 while the WHO Info app will
provide the general public with real-time mobile access to the latest news and developments.
"In the light of overcrowding in many places of detention, which undermines hygiene, health, safety and"
"human dignity, UNODC,WHO,UNAIDS and OHCHR released a joint statement on COVID-19 in prisons"
and other closed settings to urgently draw the attention of political leaders to the heightened
vulnerability of prisoners and other people deprived of liberty due to COVID-19 pandemic.
4.,"Lai, C.-C., Shih, T.-P., Ko, W.-C., Tang, H.-J., Hsueh, P.-R., 2020. Severe acute respiratory syndrome coronavirus 2"
"",(SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges. Int J Antimicrob Agents
"","55, 105924. (https://doi.org/10.1016/j.ijantimicag.2020.105924, accessed 6 May 2020)"
5.,"Ramesh, N., Siddaiah, A., Joseph, B., 2020. Tackling corona virus disease 2019 (COVID 19) in workplaces. Indian J"
"","Occup Environ Med 24, 16. (https://doi.org/10.4103/ijoem.IJOEM_49_20, accessed 6 May 2020)"
6.,"R Bennett, J.E., Dolin, R., Blaser, M.J. (Eds.), 2015. Mandell, Douglas, and Bennett’s principles and practice of"
"","infectious diseases, Eighth edition. ed. Elsevier/Saunders, Philadelphia, PA."
"","(https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7099662/#!po=52.8226, accessed 14 May 2020)"
7.,"Roth, K., Michels, W., 2005. Inter-hospital trials to determine minimal cleaning performance according to the"
"","guideline by DGKH, DGSV and AKI 13, 106-110+112."
"",(https://www.researchgate.net/profile/Winfried_Michels/publication/292641729_Inter-
"",hospital_trials_to_determine_minimal_cleaning_performance_according_to_the_guideline_by_DGKH_DGSV_and
"",_AKI/links/571a4d4108ae7f552a472e88/Inter-hospital-trials-to-determine-minimal-cleaning-performance-
"","according-to-the-guideline-by-DGKH-DGSV-and-AKI.pdf, accessed 6 May 2020)"
8.,"Zock, J.-P., Plana, E., Jarvis, D., Antó, J.M., Kromhout, H., Kennedy, S.M., Künzli, N., et al., 2007. The Use of Household"
"","Cleaning Sprays and Adult Asthma: An International Longitudinal Study. Am J Respir Crit Care Med 176, 735–741."
"","(https://doi.org/10.1164/rccm.200612-1793OC, accessed 6 May 2020)"
9.,"Mehtar, S., Bulabula, A.N.H., Nyandemoh, H., Jambawai, S., 2016. Deliberate exposure of humans to chlorine-the"
"","aftermath of Ebola in West Africa. Antimicrob Resist Infect Control 5, 45. (https://doi.org/10.1186/s13756-016-0144-"
"","1, accessed 6 May 2020)"
10.,"Schyllert, C., Rönmark, E., Andersson, M., Hedlund, U., Lundbäck, B., Hedman, L., et al., 2016. Occupational exposure"
"","to chemicals drives the increased risk of asthma and rhinitis observed for exposure to vapours, gas, dust and fumes:"
"","a cross-sectional population-based study. Occup Environ Med 73, 663–669. (https://doi.org/10.1136/oemed-2016-"
"","103595, accessed 6 May 2020)"
11.,"Benzoni, T., Hatcher, J.D., 2020. Bleach Toxicity, in: StatPearls. StatPearls Publishing, Treasure Island (FL)."
"","(https://www.ncbi.nlm.nih.gov/books/NBK441921/, accessed 6 May 2020)"
12.,Practical considerations and recommendations for Religious Leaders and Faith-based Communities in the context of
"",COVID-19. Geneva: World Health Organization; 2020 (https://www.who.int/publications-detail/practical-
"",considerations-and-recommendations-for-religious-leaders-and-faith-based-communities-in-the-context-of-covid-
"","19, accessed 10 May 2020)"
13.,Infection prevention and control for the safe management of a dead body in the context of COVID-19: interim
"",guidance. Geneva: World Health Organization; 2020 (https://www.who.int/publications-detail/infection-
"","prevention-and-control-for-the-safe-management-of-a-dead-body-in-the-context-of-covid-19-interim-guidance,"
"",accessed 10 May 2020)
14.,Getting your workplace ready for COVID-19: How COVID-19 spreads. Geneva; World Health Organization; 2020
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,12 074,724,219,13,Community transmission,0
Algeria,6 253,186,522,7,Community transmission,0
Ghana,5 408,281,24,2,Community transmission,0
Nigeria,4 971,184,164,6,Community transmission,0
Cameroon,2 800,111,136,11,Community transmission,0
Guinea,2 372,74,14,3,Community transmission,0
Senegal,2 105,110,22,3,Community transmission,0
Côte d’Ivoire,1 912,55,24,3,Community transmission,0
Democratic Republic of the Congo,1 242,73,50,0,Community transmission,0
Gabon,1 004,141,9,0,Community transmission,0
Niger,860,6,49,2,Community transmission,0
Guinea-Bissau,836,16,3,0,Community transmission,0
Burkina Faso,773,7,51,0,Community transmission,0
Mali,758,28,44,4,Community transmission,0
Kenya,737,22,40,4,Community transmission,0
Equatorial Guinea,583,61,7,1,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,6
Zambia,446,5,7,0,Community transmission,0
Sierra Leone,387,49,21,1,Clusters of cases,0
Chad,372,15,42,2,Community transmission,0
Congo,341,8,11,0,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Mauritius,332,0,10,0,Clusters of cases,17
Benin,327,0,2,0,Community transmission,1
Cabo Verde,289,19,2,0,Clusters of cases,0
Rwanda,287,1,0,0,Sporadic cases,0
Ethiopia,263,2,5,0,Clusters of cases,0
Togo,219,20,11,0,Community transmission,0
Liberia,213,1,20,0,Community transmission,0
Madagascar,212,20,0,0,Clusters of cases,0
South Sudan,194,20,0,0,Clusters of cases,0
Central African Republic,187,8,0,0,Sporadic cases,0
Eswatini,187,3,2,0,Clusters of cases,0
São Tomé and Príncipe,165,0,7,3,Clusters of cases,4
Uganda,139,13,0,0,Sporadic cases,0
Mozambique,107,3,0,0,Clusters of cases,0
Malawi,63,5,3,0,Clusters of cases,0
Angola,45,0,2,0,Clusters of cases,3
Eritrea,39,0,0,0,Sporadic cases,25
Zimbabwe,37,0,4,0,Sporadic cases,1
Burundi,27,0,1,0,Clusters of cases,1
Botswana,24,0,1,0,Clusters of cases,2
Gambia,23,0,1,0,Sporadic cases,1
Namibia,16,0,0,0,Sporadic cases,38
Comoros,11,0,1,0,Community transmission,4
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Seychelles,11,0,0,0,Clusters of cases,37
Mauritania,9,1,1,0,Sporadic cases,0
Lesotho,1,1,0,0,Pending,0
Territoriesii,,,,,,
Mayotte,1 143,48,14,2,Clusters of cases,0
Réunion,439,2,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 340 098,18 044,80 695,1 061,Community transmission,0
Brazil,177 589,9 258,12 400,881,Community transmission,0
Peru,72 059,3 237,2 057,96,Community transmission,0
Canada,71 486,1 144,5 209,160,Community transmission,0
Mexico,38 324,1 997,3 926,353,Community transmission,0
Chile,34 381,2 660,346,11,Community transmission,0
Ecuador,30 486,67,2 334,7,Community transmission,0
Colombia,12 272,659,493,14,Community transmission,0
Dominican Republic,11 196,296,409,7,Community transmission,0
Panama,8 616,0,249,0,Community transmission,1
Argentina,6 563,285,321,4,Community transmission,0
Bolivia (Plurinational State of),2 964,133,128,6,Clusters of cases,0
Honduras,2 080,- 20,121,5,Community transmission,0
Cuba,1 810,6,79,1,Clusters of cases,0
Guatemala,1 199,85,27,1,Clusters of cases,0
El Salvador,1 037,39,20,2,Clusters of cases,0
Costa Rica,804,3,7,0,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Paraguay,740,3,11,1,Community transmission,0
Uruguay,717,6,19,0,Clusters of cases,0
Jamaica,507,2,9,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),440,18,10,0,Clusters of cases,0
Haiti,219,10,18,2,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,16
Guyana,113,4,10,0,Clusters of cases,0
Bahamas,93,0,11,0,Clusters of cases,1
Barbados,85,1,7,0,Clusters of cases,0
Antigua and Barbuda,25,0,3,0,Clusters of cases,10
Nicaragua,25,9,8,3,Pending,0
Grenada,21,0,0,0,Clusters of cases,10
Belize,18,0,2,0,Sporadic cases,29
