"",
Presidents Carlos Alvarado Quesada of Costa Rica and Sebastián Piñera of Chile joined the,
WHO Director-General Dr Tedros on 15 May to announce progress on a technology platform,
"that aims to lift access barriers to effective vaccines, medicines and other health products",
"against COVID-19. The platform, which will officially launch on 29 May, will pool data,",
knowledge and intellectual property for existing or new COVID-19 health products to,
deliver ‘global public goods’ for all people and all countries.,
Japan has agreed to contribute over US$2.7 million to help nine countries in the Americas,
"strengthen their capacities to detect cases, monitor, and control outbreaks of COVID-19, as wel",
as ensure that reliable public health information on the COVID-19 pandemic is available t,
people involved in the response and the general public,
A community of youth influencers named the Global Shapers Community is working with th,
"WHO Regional Office for Europe to ensure that tailored health advice reaches communities,",
families and individuals in countries across the European Region. This collaboration allow,
"young community members to flag rumours, report on the tone of discussions on their channels",
"and ask questions, as well as share information and project ideas to WHO. The information i",
then used by WHO to better tailor risk communication and address misinformation.,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,otal confirmed,,,Total confirmed,,Total deaths,otal deaths,Total new deaths,Total new deaths,,ransmission,,,Days since last,
"",ases,new cases,lassificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,otal deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Benin,339,0,2,0,Community transmission,2
Mauritius,332,0,10,0,Clusters of cases,20
Cabo Verde,328,2,3,1,Clusters of cases,0
Ethiopia,306,19,5,0,Clusters of cases,0
Central African Republic,301,0,0,0,Sporadic cases,1
Togo,298,35,11,0,Community transmission,0
Rwanda,289,2,0,0,Sporadic cases,0
Madagascar,283,45,0,0,Clusters of cases,0
South Sudan,231,0,1,0,Clusters of cases,2
Uganda,227,24,0,0,Sporadic cases,0
Liberia,223,4,20,0,Community transmission,0
Eswatini,202,12,2,0,Clusters of cases,0
São Tomé and Príncipe,169,3,7,0,Clusters of cases,0
Mozambique,129,10,0,0,Clusters of cases,0
Malawi,65,2,3,0,Clusters of cases,0
Angola,48,0,2,0,Clusters of cases,2
Zimbabwe,44,2,4,0,Sporadic cases,0
Mauritania,40,11,4,1,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,28
Burundi,27,0,1,0,Clusters of cases,4
Botswana,25,1,1,0,Clusters of cases,0
Gambia,23,0,1,0,Sporadic cases,4
Namibia,16,0,0,0,Sporadic cases,41
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Comoros,11,0,1,0,Community transmission,7
Seychelles,11,0,0,0,Clusters of cases,40
Lesotho,1,0,0,0,Pending,3
Territoriesii,,,,,,
