""
"The 73rd World Health Assembly which opened today, will focus on the COVID-19 pandemic. Member"
"States will deliver statements, report their progress in fighting the coronavirus, share knowledge on the"
"evolving situation and consider a draft resolution on COVID-19. It is available live online in Arabic,"
"Chinese, Russian, English, French, and Spanish."
WHO has signed an agreement with the International Olympic Committee (IOC) to work together to
promote health through sport and physical activity. The agreement has a special focus on preventing
non-communicable diseases (NCDs). This collaboration is timely because the current COVID-19 pandemic
is particularly affecting people with NCDs.
Flooding in Somalia has raised concerns of an upsurge in cholera cases as the country deals with a
growing number of COVID-19 cases. WHO's country office has sent urgently needed essential medical
"supplies, however funding for humanitarian operations in Somalia remains very low."
Sony Music Latin and Global Citizen have released a new “Color Esperanza” track  with proceeds
benefiting the Pan American Health Organization (PAHO) – WHO’s Regional Office for the Americas -  and
its COVID-19 relief efforts throughout the Americas.
WHO has cautioned against recommending or administering unproven treatments to patients with
"COVID-19. In the ‘Subject in Focus’ below, we highlight how the WHO Solidarity Trial is helping find an"
effective treatment for COVID-19.
Reporting Country/ Territory/Area,Reporting Country/ Territory/Are
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,Reporting Country/ Territory/Are,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new death,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",Africa,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new death
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Benin,339,0,2,0,Community transmission,3
Mauritius,332,0,10,0,Clusters of cases,21
Cabo Verde,328,0,3,0,Clusters of cases,1
Central African Republic,327,26,0,0,Sporadic cases,0
Ethiopia,317,11,5,0,Clusters of cases,0
Madagascar,304,21,1,1,Clusters of cases,0
Togo,301,3,11,0,Community transmission,0
Rwanda,292,3,0,0,Sporadic cases,0
South Sudan,282,51,4,3,Clusters of cases,0
Uganda,227,0,0,0,Sporadic cases,1
Liberia,226,3,21,1,Community transmission,0
Eswatini,203,1,2,0,Clusters of cases,0
São Tomé and Príncipe,169,0,7,0,Clusters of cases,1
Mozambique,137,8,0,0,Clusters of cases,0
Malawi,70,5,3,0,Clusters of cases,0
Mauritania,62,22,4,0,Sporadic cases,0
Angola,48,0,2,0,Clusters of cases,3
Zimbabwe,44,0,4,0,Sporadic cases,1
Burundi,42,15,1,0,Clusters of cases,0
Eritrea,39,0,0,0,Sporadic cases,29
Botswana,25,0,1,0,Clusters of cases,1
Gambia,24,1,1,0,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,42
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Comoros,11,0,1,0,Community transmission,8
Seychelles,11,0,0,0,Clusters of cases,41
Lesotho,1,0,0,0,Pending,4
Territoriesii,,,,,,
Mayotte,1 342,84,18,2,Clusters of cases,0
Réunion,443,0,0,0,Clusters of cases,1
Americas,,,,,,
United States of America,1 432 265,22 813,87 180,1 320,Community transmission,0
Brazil,233 142,14 919,15 633,816,Community transmission,0
Peru,88 541,4 046,2 523,131,Community transmission,0
Canada,76 204,1 211,5 702,107,Community transmission,0
Mexico,47 144,2 112,5 045,278,Community transmission,0
Chile,43 781,2 353,450,29,Community transmission,0
Ecuador,32 723,1 256,2 688,94,Community transmission,0
Colombia,14 939,723,562,16,Community transmission,0
Dominican Republic,12 314,204,428,0,Community transmission,0
Panama,9 449,181,269,3,Community transmission,0
Argentina,7 805,326,366,3,Community transmission,0
Bolivia (Plurinational State of),3 826,249,165,1,Clusters of cases,0
Honduras,2 565,105,138,4,Community transmission,0
Cuba,1 872,10,79,0,Clusters of cases,0
Guatemala,1 763,120,33,3,Clusters of cases,0
El Salvador,1 338,73,27,2,Clusters of cases,0
Costa Rica,853,10,10,2,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Paraguay,786,8,11,0,Community transmission,0
Uruguay,734,2,19,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),541,37,10,0,Clusters of cases,0
Jamaica,517,6,9,0,Clusters of cases,0
Haiti,358,48,20,0,Clusters of cases,0
Guyana,117,1,10,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,20
Bahamas,96,0,11,0,Clusters of cases,2
Barbados,86,1,7,0,Clusters of cases,0
Antigua and Barbuda,25,0,3,0,Clusters of cases,14
Nicaragua,25,0,8,0,Clusters of cases,4
Grenada,22,0,0,0,Clusters of cases,2
Belize,18,0,2,0,Sporadic cases,33
Saint Lucia,18,0,0,0,Sporadic cases,13
Saint Vincent and the Grenadines,17,0,0,0,Sporadic cases,13
Dominica,16,0,0,0,Clusters of cases,37
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,27
Suriname,10,0,1,0,Sporadic cases,44
Territoriesii,,,,,,
Puerto Rico,2 646,57,123,1,Clusters of cases,0
French Guiana,197,8,1,0,Clusters of cases,0
Martinique,192,0,14,0,Clusters of cases,1
Guadeloupe,155,0,13,0,Clusters of cases,5
Bermuda,123,0,9,0,Clusters of cases,1
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Aruba,101,0,3,0,Sporadic cases,12
Cayman Islands,94,0,1,0,Clusters of cases,1
Sint Maarten,78,0,15,0,Sporadic cases,4
United States Virgin Islands,69,0,6,0,Clusters of cases,7
Saint Martin,39,0,3,0,Sporadic cases,7
Curaçao,16,0,1,0,Sporadic cases,20
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,22
Turks and Caicos Islands,12,0,1,0,Sporadic cases,20
Montserrat,11,0,1,0,Sporadic cases,34
British Virgin Islands,8,0,1,0,Sporadic cases,2
"Bonaire, Sint Eustatius and Saba",6,0,0,0,Sporadic cases,20
Saint Barthélemy,6,0,0,0,Sporadic cases,48
Anguilla,3,0,0,0,Sporadic cases,44
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,40
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),120 198,1 806,6 988,51,Community transmission,0
Saudi Arabia,54 752,2 736,312,10,Clusters of cases,0
Pakistan,42 125,1 974,903,30,Clusters of cases,0
Qatar,32 604,1 632,15,0,Community transmission,0
United Arab Emirates,23 358,731,220,6,Pending,0
Kuwait,14 850,1 048,112,5,Clusters of cases,0
Egypt,12 229,510,630,18,Clusters of cases,0
Afghanistan,7 072,437,173,4,Clusters of cases,0
Bahrain,6 930,183,12,0,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Morocco,6 870,129,192,0,Clusters of cases,0
Oman,5 379,193,23,1,Clusters of cases,0
Iraq,3 404,144,123,2,Clusters of cases,0
Sudan,2 591,302,105,8,Community transmission,0
Somalia,1 421,64,56,1,Sporadic cases,0
Djibouti,1 401,70,4,0,Clusters of cases,0
Tunisia,1 037,0,45,0,Community transmission,1
Lebanon,911,9,26,0,Clusters of cases,0
Jordan,613,6,9,0,Clusters of cases,0
Yemen,132,6,21,2,Pending,0
Libya,65,0,3,0,Clusters of cases,1
Syrian Arab Republic,58,7,3,0,Community transmission,0
Territoriesii,,,,,,
occupied Palestinian territory,560,5,4,0,Clusters of cases,0
Europe,,,,,,
Russian Federation,290 678,8 926,2 722,91,Clusters of cases,0
The United Kingdom,243 699,3 534,34 636,170,Community transmission,0
Spain,231 350,652,27 650,87,Community transmission,0
Italy,225 435,675,31 908,145,Community transmission,0
Germany,174 697,342,7 935,21,Community transmission,0
Turkey,149 435,1 368,4 140,44,Community transmission,0
France,140 036,28,28 059,481,Community transmission,0
Belgium,55 280,291,9 052,47,Community transmission,0
Netherlands,43 995,125,5 680,10,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Switzerland,30 504,15,1 602,1,Community transmission,0
Sweden,30 143,466,3 679,5,Community transmission,0
Belarus,29 650,969,165,5,Community transmission,0
Portugal,29 036,226,1218,15,Community transmission,0
Ireland,24 112,64,1543,10,Community transmission,0
Ukraine,18 616,325,535,21,Community transmission,0
Poland,18 529,272,925,10,Community transmission,0
Romania,16 871,167,1 097,16,Community transmission,0
Israel,16 607,-1,271,3,Pending,0
Austria,16 154,14,629,1,Community transmission,0
Denmark,10 927,69,547,4,Community transmission,0
Serbia,10 610,114,230,2,Pending,0
Czechia,8 475,20,298,2,Community transmission,0
Norway,8 197,0,232,0,Clusters of cases,2
Kazakhstan,6 440,283,34,0,Pending,0
Finland,6 347,61,298,1,Pending,0
Republic of Moldova,6 060,126,211,2,Pending,0
Armenia,4 823,351,61,1,Clusters of cases,0
Luxembourg,3 945,15,107,3,Pending,0
Hungary,3 535,26,462,11,Community transmission,0
Azerbaijan,3 274,136,39,3,Clusters of cases,0
Greece,2 834,15,163,1,Clusters of cases,0
Uzbekistan,2 762,21,12,1,Clusters of cases,0
Bosnia and Herzegovina,2 289,24,132,1,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Bulgaria,2 235,24,110,2,Clusters of cases,0
Croatia,2 226,2,95,0,Community transmission,0
Iceland,1 802,0,10,0,Community transmission,4
North Macedonia,1 792,30,101,3,Clusters of cases,0
Estonia,1 774,4,63,0,Pending,0
Lithuania,1 541,7,56,1,Community transmission,0
Slovakia,1 494,1,28,0,Clusters of cases,0
Slovenia,1 466,1,104,1,Clusters of cases,0
Tajikistan,1 322,0,39,0,Pending,1
Kyrgyzstan,1 216,78,14,0,Clusters of cases,0
Latvia,1 008,11,19,0,Clusters of cases,0
Albania,948,2,31,0,Clusters of cases,0
Cyprus,916,2,17,0,Clusters of cases,0
Andorra,761,0,51,0,Community transmission,4
Georgia,701,6,12,0,Community transmission,0
San Marino,668,16,41,0,Community transmission,0
