WHO Regional Director for the Americas Dr Carissa F. Etienne highlighted that addressing COVID-19 will
"require protecting vulnerable groups including women, underprivileged populations, indigenous"
"populations and migrants, by addressing health, social and economic inequalities."
WHO has published a new Case Report Form for “Suspected cases of multisystem inflammatory
syndrome (MIS) in children and adolescents temporally related to COVID-19” intended for use by public
"health professionals for collecting standardized data on clinical presentations, severity and outcomes."
Uganda commissioned the first Port Health COVID-19 laboratory at the main Uganda-Tanzania border
in light of potential COVID-19 importation by truck drivers. Two GeneXpert machines will be used to test
"all truck drivers arriving at the Mutukula point of entry, where results will become available within 45"
minutes.
"A doctor from Cairo, Egypt describes how he became infected with and recovered from COVID-19 and"
"highlights the need for health care workers to practise basic infection, prevention and control measures"
when interacting with patients.
Evidence from social science can help officials develop and implement policies in ways that are more
"likely to work because they are tailored to local needs. In the ‘Subject in Focus’ below, we look at how"
WHO is implementing the COVID-19 Research Roadmap agenda to translate evidence from the social
sciences into action.
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,17 200,767,312,26,Community transmission,0
Algeria,7 377,176,561,6,Community transmission,0
Nigeria,6 401,226,192,1,Community transmission,0
Ghana,6 096,361,31,2,Community transmission,0
Cameroon,3 529,0,140,0,Community transmission,1
Guinea,2 863,67,18,2,Community transmission,0
Senegal,2 617,73,30,4,Community transmission,0
Côte d’Ivoire,2 153,34,28,0,Community transmission,0
Democratic Republic of the Congo,1 730,193,60,0,Community transmission,0
Gabon,1 502,70,12,1,Community transmission,0
Guinea-Bissau,1 038,0,6,0,Community transmission,1
Kenya,963,51,50,0,Community transmission,0
Niger,914,5,55,0,Community transmission,0
Mali,901,27,53,1,Community transmission,0
Equatorial Guinea,890,65,7,0,Community transmission,0
Burkina Faso,806,10,52,1,Community transmission,0
Zambia,772,11,7,0,Community transmission,0
Chad,545,26,56,2,Community transmission,0
Sierra Leone,534,15,33,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,12
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Congo,420,6,15,0,Community transmission,0
Central African Republic,411,75,0,0,Sporadic cases,0
Ethiopia,365,13,5,0,Clusters of cases,0
Togo,338,8,12,0,Community transmission,0
