The WHO World Health Assembly has ended with a global commitment to the COVID-19 response.
Delegates adopted a landmark resolution to bring the world together to fight the COVID-19 pandemic.
WHO has been supporting Somalia since the beginning of this outbreak to enhance its infection control
"measures, testing capacities, and case management. In particular, training has been provided for the"
"healthcare workers of the De-Martino hospital and 13 other isolation centres across the country, which"
"have also received medical supplies and budget support for salaries. However, so far, only 26% of WHO’s"
urgent appeal of US$ 21.95 million for emergency response to COVID-19 in Somalia has been funded.
"The World Day for Cultural Diversity for Dialogue and Development, celebrated every year on 21 May,"
"is an opportunity to celebrate not only the richness of the world’s cultures, but also the importance of"
cultural competency and intercultural dialogue within healthcare systems.  It also reminds us that public
health efforts against the COVID-19 pandemic require a whole-of-society approach and must include
vulnerable populations such as refugees and migrants in national plans and strategies.
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Congo,420,0,15,0,Community transmission,1
Central African Republic,411,0,0,0,Sporadic cases,1
Ethiopia,389,24,5,0,Clusters of cases,0
Madagascar,371,45,2,0,Clusters of cases,0
Cabo Verde,349,14,3,0,Clusters of cases,0
South Sudan,339,57,6,2,Clusters of cases,0
Togo,338,0,12,0,Community transmission,1
Mauritius,332,0,10,0,Clusters of cases,24
Rwanda,314,6,0,0,Sporadic cases,0
Uganda,264,4,0,0,Sporadic cases,0
Liberia,238,5,23,0,Community transmission,0
Eswatini,217,9,2,0,Clusters of cases,0
São Tomé and Príncipe,165,0,8,1,Clusters of cases,2
Mozambique,156,10,0,0,Clusters of cases,0
Mauritania,141,10,4,0,Sporadic cases,0
Benin,130,0,2,0,Community transmission,1
Malawi,72,1,3,0,Clusters of cases,0
Angola,58,6,3,0,Clusters of cases,0
Zimbabwe,48,2,4,0,Sporadic cases,0
Burundi,42,0,1,0,Clusters of cases,3
Eritrea,39,0,0,0,Sporadic cases,32
Comoros,34,0,1,0,Community transmission,1
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Botswana,25,0,1,0,Clusters of cases,4
Gambia,24,0,1,0,Sporadic cases,3
Namibia,16,0,0,0,Sporadic cases,45
Seychelles,11,0,0,0,Clusters of cases,44
Lesotho,1,0,0,0,Pending,7
Territoriesii,,,,,,
Mayotte,1 475,56,19,0,Clusters of cases,0
Réunion,447,1,1,1,Clusters of cases,0
Americas,,,,,,
United States of America,1 501 876,24 417,90 203,932,Community transmission,0
Brazil,271 628,17 408,17 971,1 179,Community transmission,0
Peru,99 483,4 550,2 914,125,Community transmission,0
Canada,79 502,1 003,5 955,98,Community transmission,0
Mexico,54 346,2 713,5 666,334,Community transmission,0
Chile,53 617,7 558,544,66,Community transmission,0
Ecuador,34 151,0,2 839,0,Community transmission,1
Colombia,16 935,640,613,21,Community transmission,0
Dominican Republic,13 477,254,446,5,Community transmission,0
Panama,9 867,141,281,2,Community transmission,0
Argentina,8 809,438,393,11,Community transmission,0
Bolivia (Plurinational State of),4 481,218,189,15,Clusters of cases,0
Honduras,2 955,157,147,1,Community transmission,0
Guatemala,2 133,132,43,5,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Cuba,1 900,13,79,0,Clusters of cases,0
El Salvador,1 571,73,31,1,Community transmission,0
Costa Rica,882,0,10,0,Clusters of cases,1
Paraguay,833,4,11,0,Community transmission,0
Venezuela (Bolivarian Republic of),824,206,10,0,Clusters of cases,0
Uruguay,738,1,20,0,Clusters of cases,0
Haiti,596,63,22,1,Clusters of cases,0
Jamaica,520,0,9,0,Clusters of cases,2
Nicaragua,279,254,17,9,Clusters of cases,0
Guyana,125,1,10,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,23
Bahamas,96,0,11,0,Clusters of cases,5
Barbados,90,2,7,0,Clusters of cases,0
Antigua and Barbuda,25,0,3,0,Clusters of cases,17
Grenada,22,0,0,0,Clusters of cases,5
Belize,18,0,2,0,Sporadic cases,36
Saint Lucia,18,0,0,0,Sporadic cases,16
Saint Vincent and the Grenadines,18,1,0,0,Sporadic cases,0
Dominica,16,0,0,0,Clusters of cases,40
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,30
Suriname,11,0,1,0,Sporadic cases,2
Territoriesii,,,,,,
