WHO and United Nations High Commissioner for Refugees (UNHCR) joined forces to improve
"health services for refugees, displaced and stateless people. WHO and UNHCR signed a new"
agreement to strengthen and advance public health services for the millions of displaced people
around the world. A key aim this year will be to support ongoing efforts to protect some 70 million
displaced people due to COVID-19.
WHO has supported the Smithsonian Science Education Center and InterAcademy Partnership to
"launch a new COVID-19 rapid-response guide for young people aged 8–17 years, titled “COVID-"
"19! How can I protect myself and others?”. The guide, which is based on the 2030 Sustainable"
"Development Goals, aims to help young people understand the science and social science of"
"COVID-19 as well as help them take action to keep themselves, their families and communities"
safe.
WHO has launched a new search feature for questions on COVID-19. WHO’s COVID-19 webpage
"now features an enhanced natural language processing search bar, which understands questions"
posed in everyday language and more accurately delivers answers to those queries.
WHO and partners have produced guidance on laboratory biosafety related to the testing of clinical
"specimens and guidance on the repatriation of COVID-19 human remains by air, both of which are"
explored in today’s ‘Subject in Focus’ below.
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,otal confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,ew cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
South Sudan,473,134,6,0,Clusters of cases,0
Congo,469,49,16,1,Community transmission,0
Central African Republic,436,25,0,0,Sporadic cases,0
Madagascar,405,34,2,0,Clusters of cases,0
Ethiopia,399,10,5,0,Clusters of cases,0
Cabo Verde,356,7,3,0,Clusters of cases,0
Togo,354,16,12,0,Community transmission,0
Mauritius,332,0,10,0,Clusters of cases,25
Rwanda,320,6,0,0,Sporadic cases,0
Uganda,264,0,0,0,Sporadic cases,1
Liberia,240,2,23,0,Community transmission,0
Eswatini,220,3,2,0,Clusters of cases,0
Mauritania,173,32,5,1,Sporadic cases,0
São Tomé and Príncipe,165,0,8,0,Clusters of cases,3
Mozambique,162,6,0,0,Clusters of cases,0
Benin,135,5,3,1,Community transmission,0
Malawi,72,0,3,0,Clusters of cases,1
Angola,60,2,3,0,Clusters of cases,0
Zimbabwe,51,3,4,0,Sporadic cases,0
Burundi,42,0,1,0,Clusters of cases,4
Eritrea,39,0,0,0,Sporadic cases,33
Comoros,34,0,1,0,Community transmission,2
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Botswana,29,4,1,0,Clusters of cases,0
Gambia,24,0,1,0,Sporadic cases,4
Namibia,18,2,0,0,Sporadic cases,0
Seychelles,11,0,0,0,Clusters of cases,45
Lesotho,1,0,0,0,Pending,8
Territoriesii,,,,,,
Mayotte,1 494,19,19,0,Clusters of cases,0
Réunion,449,2,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 525 186,23 310,91 527,1 324,Community transmission,0
Brazil,291 579,19 951,18 859,888,Community transmission,0
Peru,104 020,4 537,3 024,110,Community transmission,0
Canada,80 555,1 053,6 062,107,Community transmission,0
Mexico,56 594,2 248,6 090,424,Community transmission,0
Chile,53 617,0,544,0,Community transmission,1
Ecuador,34 854,703,2 888,49,Community transmission,0
Colombia,17 687,752,630,17,Community transmission,0
Dominican Republic,13 657,180,448,2,Community transmission,0
Panama,9 977,110,287,6,Community transmission,0
Argentina,9 283,474,403,10,Community transmission,0
Bolivia (Plurinational State of),4 919,438,199,10,Clusters of cases,0
Honduras,3 100,145,151,4,Community transmission,0
Guatemala,2 265,132,45,2,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Cuba,1 908,8,80,1,Clusters of cases,0
El Salvador,1 640,69,32,1,Community transmission,0
Costa Rica,882,0,10,0,Clusters of cases,2
Paraguay,836,3,11,0,Community transmission,0
Venezuela (Bolivarian Republic of),824,0,10,0,Clusters of cases,1
Uruguay,746,8,20,0,Clusters of cases,0
Haiti,663,67,22,0,Clusters of cases,0
Jamaica,529,9,9,0,Clusters of cases,0
Nicaragua,279,0,17,0,Clusters of cases,1
Guyana,125,0,10,0,Clusters of cases,1
Trinidad and Tobago,116,0,8,0,Sporadic cases,24
Bahamas,97,1,11,0,Clusters of cases,0
Barbados,90,0,7,0,Clusters of cases,1
Antigua and Barbuda,25,0,3,0,Clusters of cases,18
Grenada,22,0,0,0,Clusters of cases,6
Belize,18,0,2,0,Sporadic cases,37
Saint Lucia,18,0,0,0,Sporadic cases,17
Saint Vincent and the Grenadines,18,0,0,0,Sporadic cases,1
Dominica,16,0,0,0,Clusters of cases,41
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,31
Suriname,11,0,1,0,Sporadic cases,3
Territoriesii,,,,,,
Puerto Rico,2 913,47,126,1,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
French Guiana,237,19,1,0,Clusters of cases,0
Martinique,192,0,14,0,Clusters of cases,5
Guadeloupe,155,0,13,0,Clusters of cases,9
Bermuda,125,0,9,0,Clusters of cases,2
Cayman Islands,111,0,1,0,Clusters of cases,1
Aruba,101,0,3,0,Sporadic cases,16
Sint Maarten,78,0,15,0,Sporadic cases,8
United States Virgin Islands,69,0,6,0,Clusters of cases,11
Saint Martin,39,0,3,0,Sporadic cases,11
Curaçao,16,0,1,0,Sporadic cases,24
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,26
Turks and Caicos Islands,12,0,1,0,Sporadic cases,24
Montserrat,11,0,1,0,Sporadic cases,38
British Virgin Islands,8,0,1,0,Sporadic cases,6
"Bonaire, Sint Eustatius and Saba",6,0,0,0,No cases,24
Saint Barthélemy,6,0,0,0,Sporadic cases,52
Anguilla,3,0,0,0,Sporadic cases,48
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,44
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),129 341,2 392,7 249,66,Community transmission,0
Saudi Arabia,65 077,2 532,351,12,Clusters of cases,0
Pakistan,50 694,2 603,1 067,50,Clusters of cases,0
Qatar,38 651,1 554,17,1,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
United Arab Emirates,26 898,894,237,4,Pending,0
Kuwait,18 609,1 041,129,5,Clusters of cases,0
Egypt,15 003,774,696,16,Clusters of cases,0
Afghanistan,9 216,540,205,12,Clusters of cases,0
Bahrain,8 174,286,12,0,Clusters of cases,0
Morocco,7 211,78,196,2,Clusters of cases,0
Oman,6 370,0,32,2,Clusters of cases,1
Iraq,3 877,153,140,6,Clusters of cases,0
Sudan,3 138,0,121,0,Community transmission,1
Djibouti,2 047,219,10,1,Clusters of cases,0
Somalia,1 594,21,61,0,Sporadic cases,0
Tunisia,1 046,1,47,0,Community transmission,0
Lebanon,1 024,63,26,0,Clusters of cases,0
Jordan,684,12,9,0,Clusters of cases,0
Yemen,197,13,33,3,Pending,0
Libya,71,2,3,0,Clusters of cases,0
Syrian Arab Republic,58,0,3,0,Community transmission,4
Territoriesii,,,,,,
occupied Palestinian territory,608,31,4,0,Clusters of cases,0
Europe,,,,,,
Russian Federation,326 448,8 894,3 249,150,Clusters of cases,0
The United Kingdom,250 912,2 615,36 042,338,Community transmission,0
Spain,233 037,482,27 940,52,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Italy,228 006,642,32 486,156,Community transmission,0
Germany,177 212,460,8 174,27,Community transmission,0
Turkey,153 548,961,4 249,27,Community transmission,0
France,141 590,278,28 164,83,Community transmission,0
Belgium,56 235,252,9 186,36,Community transmission,0
Netherlands,44 700,253,5 775,27,Community transmission,0
Belarus,34 303,932,190,5,Community transmission,0
Sweden,32 172,649,3 871,40,Community transmission,0
Switzerland,30 611,36,1 637,8,Community transmission,0
Portugal,29 912,252,1 277,14,Community transmission,0
Ireland,24 391,76,1 583,12,Community transmission,0
