WHO has published a  COVID-19 Monitoring and Evaluation Framework listing the key public health
"and essential health services and systems indicators to monitor preparedness, response, and situations"
during the COVID-19 pandemic.
WHO has updated a document on Operational Planning Guidelines to Support Country
Preparedness and Response. The document provides a practical guide that can be used by national
authorities to develop and update their COVID-19 national plans across the major pillars of COVID-19
preparedness and response.
WHO published an interim guidance on Framework for decision-making: implementation of mass
vaccination campaigns in the context of COVID-19. The document describes the principles to consider
when deliberating the implementation of mass vaccination campaigns for prevention of vaccine-
"preventable diseases and high impact diseases (VPD/HID), and when assessing risks and benefits of"
conducting outbreak-response vaccination campaigns to respond to VPD/HID outbreaks.
WHO has published an interim guidance on Controlling the spread of COVID-19 at ground crossings
"advising countries to reduce the spread of COVID-19 resulting from travel, transportation, and trade on"
and around ground crossings
""
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Central African Republic,479,43,0,0,Sporadic cases,0
South Sudan,473,0,5,- 1,Clusters of cases,1
Congo,469,0,16,0,Community transmission,1
Madagascar,448,43,2,0,Clusters of cases,0
Ethiopia,433,34,5,0,Clusters of cases,0
Togo,363,9,12,0,Community transmission,0
Cabo Verde,362,6,3,0,Clusters of cases,0
Mauritius,332,0,10,0,Clusters of cases,26
Rwanda,321,1,0,0,Sporadic cases,0
Uganda,274,10,0,0,Sporadic cases,0
Liberia,249,9,24,1,Community transmission,0
Eswatini,225,5,2,0,Clusters of cases,0
Mauritania,173,0,5,0,Sporadic cases,1
São Tomé and Príncipe,165,0,8,0,Clusters of cases,4
Mozambique,164,2,0,0,Clusters of cases,0
Benin,135,0,3,0,Community transmission,1
Malawi,82,10,3,0,Clusters of cases,0
Angola,60,0,3,0,Clusters of cases,1
Zimbabwe,51,0,4,0,Sporadic cases,1
Burundi,42,0,1,0,Clusters of cases,5
Eritrea,39,0,0,0,Sporadic cases,34
Comoros,34,0,1,0,Community transmission,3
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Botswana,29,0,1,0,Clusters of cases,1
Gambia,25,1,1,0,Sporadic cases,0
Namibia,19,1,0,0,Sporadic cases,0
Seychelles,11,0,0,0,Clusters of cases,46
Lesotho,2,1,0,0,Pending,0
Territoriesii,,,,,,
Mayotte,1 521,27,19,0,Clusters of cases,0
Réunion,449,0,1,0,Clusters of cases,1
Americas,,,,,,
United States of America,1 547 973,22 787,92 923,1 396,Community transmission,0
Brazil,310 087,18 508,20 047,1 188,Community transmission,0
Peru,108 769,4 749,3 148,124,Community transmission,0
Canada,81 765,1 210,6 180,118,Community transmission,0
Chile,61 857,8 240,630,86,Community transmission,0
Mexico,59 567,2 973,6 510,420,Community transmission,0
Ecuador,35 828,974,3 056,168,Community transmission,0
Colombia,18 330,643,652,22,Community transmission,0
Dominican Republic,13 989,332,456,8,Community transmission,0
Panama,10 116,139,291,4,Community transmission,0
Argentina,9 931,648,419,16,Community transmission,0
Bolivia (Plurinational State of),5 187,268,215,16,Community transmission,0
Honduras,3 204,104,156,5,Community transmission,0
Guatemala,2 512,247,48,3,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Cuba,1 916,8,81,1,Clusters of cases,0
El Salvador,1 725,85,33,1,Community transmission,0
Costa Rica,903,21,10,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),882,58,10,0,Community transmission,0
Paraguay,838,2,11,0,Community transmission,0
Uruguay,749,3,20,0,Clusters of cases,0
Haiti,734,71,25,3,Clusters of cases,0
Jamaica,534,5,9,0,Clusters of cases,0
Nicaragua,279,0,17,0,Clusters of cases,2
Guyana,127,2,10,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,25
Bahamas,97,0,11,0,Clusters of cases,1
Barbados,90,0,7,0,Clusters of cases,2
Antigua and Barbuda,25,0,3,0,Clusters of cases,19
Grenada,22,0,0,0,Clusters of cases,7
Belize,18,0,2,0,Sporadic cases,38
Saint Lucia,18,0,0,0,Sporadic cases,18
Saint Vincent and the Grenadines,18,0,0,0,Sporadic cases,2
Dominica,16,0,0,0,Clusters of cases,42
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,32
Suriname,11,0,1,0,Sporadic cases,4
Territoriesii,,,,,,
