"At least 80 million children under one at risk of diseases such as diphtheria, measles and polio as"
"COVID-19 disrupts routine vaccination efforts, warn GAVI, WHO and UNICEF. Agencies call for joint"
effort to safely deliver routine immunization and proceed with vaccination campaigns against
deadly vaccine-preventable diseases.
"WHO Director-General Dr Tedros, in his regular media briefing on 22 May, thanked all those who"
"contributed to the COVID-19 Solidarity Response Fund. The Fund, launched with the United"
"Nations Foundation and the Swiss Philanthropy Foundation, has so far raised more than U$214"
"million from more than 375,000 individuals, corporations and foundations."
The WHO Regional Office for the Americas organized media sensitization sessions on reporting on
COVID-19  to increase journalists’ understanding of the underlying issues relating to the  pandemic
and thus allow for more sensitive reporting.
""
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Central African Republic,552,73,1,1,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,16
Ethiopia,494,61,5,0,Clusters of cases,0
Madagascar,488,40,2,0,Clusters of cases,0
Congo,487,18,16,0,Community transmission,0
Togo,373,10,12,0,Community transmission,0
Cabo Verde,371,9,3,0,Clusters of cases,0
Mauritius,332,0,10,0,Clusters of cases,27
Rwanda,325,4,0,0,Sporadic cases,0
Uganda,312,38,0,0,Sporadic cases,0
Liberia,255,6,26,2,Community transmission,0
Eswatini,238,13,2,0,Clusters of cases,0
Mauritania,227,54,6,1,Sporadic cases,0
São Tomé and Príncipe,174,9,8,0,Clusters of cases,0
Mozambique,168,4,0,0,Clusters of cases,0
Benin,135,0,3,0,Community transmission,2
Malawi,83,1,4,1,Clusters of cases,0
Angola,60,0,3,0,Clusters of cases,2
Zimbabwe,56,5,4,0,Sporadic cases,0
Burundi,42,0,1,0,Clusters of cases,6
Eritrea,39,0,0,0,Sporadic cases,35
Comoros,34,0,1,0,Community transmission,4
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Botswana,29,0,1,0,Clusters of cases,2
Gambia,25,0,1,0,Sporadic cases,1
Namibia,20,1,0,0,Sporadic cases,0
Seychelles,11,0,0,0,Clusters of cases,47
Lesotho,2,0,0,0,Pending,1
Territoriesii,,,,,,
Mayotte,1 521,0,19,0,Clusters of cases,1
Réunion,452,3,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 568 448,20 475,94 011,1 088,Community transmission,0
Brazil,330 890,20 803,21 048,1 001,Community transmission,0
Peru,111 698,2 929,3 244,96,Community transmission,0
Canada,82 892,1 127,6 277,97,Community transmission,0
Chile,65 393,3 536,673,43,Community transmission,0
Mexico,62 527,2 960,6 989,479,Community transmission,0
Ecuador,36 258,430,3 096,40,Community transmission,0
Colombia,19 131,801,682,30,Community transmission,0
Dominican Republic,14 422,433,458,2,Community transmission,0
Argentina,10 649,718,439,20,Community transmission,0
Panama,10 267,151,295,4,Community transmission,0
Bolivia (Plurinational State of),5 579,392,230,15,Community transmission,0
Honduras,3 477,273,167,11,Community transmission,0
Guatemala,2 743,231,53,5,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Cuba,1 931,15,81,0,Clusters of cases,0
El Salvador,1 819,94,33,0,Community transmission,0
Venezuela (Bolivarian Republic of),944,62,10,0,Community transmission,0
Costa Rica,911,8,10,0,Clusters of cases,0
Paraguay,850,12,11,0,Community transmission,0
Haiti,812,78,25,0,Clusters of cases,0
Uruguay,753,4,20,0,Clusters of cases,0
Jamaica,544,10,9,0,Clusters of cases,0
Nicaragua,279,0,17,0,Clusters of cases,3
Guyana,127,0,10,0,Clusters of cases,1
Trinidad and Tobago,116,0,8,0,Sporadic cases,26
Bahamas,97,0,11,0,Clusters of cases,2
Barbados,90,0,7,0,Clusters of cases,3
Antigua and Barbuda,25,0,3,0,Clusters of cases,20
Grenada,22,0,0,0,Clusters of cases,8
Belize,18,0,2,0,Sporadic cases,39
Saint Lucia,18,0,0,0,Sporadic cases,19
Saint Vincent and the Grenadines,18,0,0,0,Sporadic cases,3
Dominica,16,0,0,0,Clusters of cases,43
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,33
Suriname,11,0,1,0,Sporadic cases,5
Territoriesii,,,,,,
Puerto Rico,3 100,70,127,1,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
French Guiana,261,12,1,0,Clusters of cases,0
Martinique,197,0,14,0,Clusters of cases,1
Guadeloupe,156,1,13,0,Clusters of cases,0
Cayman Islands,129,8,1,0,Clusters of cases,0
Bermuda,128,3,9,0,Clusters of cases,0
Aruba,101,0,3,0,Sporadic cases,18
Sint Maarten,78,0,15,0,Sporadic cases,10
United States Virgin Islands,69,0,6,0,Clusters of cases,13
Saint Martin,39,0,3,0,Sporadic cases,13
Curaçao,16,0,1,0,Sporadic cases,26
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,28
Turks and Caicos Islands,12,0,1,0,Sporadic cases,26
Montserrat,11,0,1,0,Sporadic cases,40
British Virgin Islands,8,0,1,0,Sporadic cases,8
"Bonaire, Sint Eustatius and Saba",6,0,0,0,No cases,26
Saint Barthélemy,6,0,0,0,Sporadic cases,54
Anguilla,3,0,0,0,Sporadic cases,50
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,46
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),133 521,1 869,7 359,59,Community transmission,0
Saudi Arabia,70 161,2 442,379,15,Clusters of cases,0
Pakistan,54 601,2 164,1 133,32,Clusters of cases,0
Qatar,42 213,1 732,21,2,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
United Arab Emirates,28 704,812,244,3,Pending,0
Kuwait,20 464,900,148,10,Clusters of cases,0
Egypt,16 513,727,735,28,Clusters of cases,0
Afghanistan,10 582,716,218,7,Clusters of cases,0
Bahrain,8 802,388,13,1,Clusters of cases,0
Morocco,7 406,74,198,1,Clusters of cases,0
Oman,7 257,463,36,2,Clusters of cases,0
Iraq,4 272,308,152,5,Clusters of cases,0
Sudan,3 634,256,146,9,Community transmission,0
Djibouti,2 270,0,10,0,Clusters of cases,1
Somalia,1 594,0,61,0,Sporadic cases,2
Lebanon,1 097,11,26,0,Clusters of cases,0
Tunisia,1 048,0,48,1,Community transmission,1
Jordan,704,4,9,0,Clusters of cases,0
Yemen,216,7,40,6,Pending,0
Libya,75,3,3,0,Clusters of cases,0
Syrian Arab Republic,70,11,4,0,Community transmission,0
Territoriesii,,,,,,
occupied Palestinian territory,602,0,5,1,Clusters of cases,1
Europe,,,,,,
Russian Federation,344 481,8 599,3 541,153,Clusters of cases,0
The United Kingdom,257 158,2 959,36 675,282,Community transmission,0
Spain,235 290,466,28 678,50,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Italy,229 327,669,32 735,119,Community transmission,0
Germany,178 281,431,8 247,31,Community transmission,0
Turkey,155 686,1 186,4 308,32,Community transmission,0
France,142 173,224,28 281,43,Community transmission,0
Belgium,56 810,299,9 237,25,Community transmission,0
Netherlands,45 064,176,5 811,23,Community transmission,0
Belarus,35 244,941,194,4,Community transmission,0
Sweden,33 188,379,3 992,67,Community transmission,0
Switzerland,30 642,18,1 640,3,Community transmission,0
Portugal,30 471,271,1 302,13,Community transmission,0
Ireland,24 582,76,1 604,12,Community transmission,0
Ukraine,20 986,406,617,12,Community transmission,0
Poland,20 931,312,993,11,Community transmission,0
Romania,17 857,145,1 170,11,Community transmission,0
Israel,16 712,22,279,0,Pending,0
Austria,16 407,46,639,4,Community transmission,0
Denmark,11 289,59,561,0,Community transmission,0
Serbia,11 092,68,238,1,Pending,0
Czechia,8 890,77,314,2,Clusters of cases,0
Kazakhstan,8 322,403,35,0,Pending,0
Norway,8 309,0,235,0,Clusters of cases,1
Republic of Moldova,6 994,147,250,12,Pending,0
Armenia,6 661,359,81,4,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
