WHO has published a case-control protocol for the assessment of risk factors for coronavirus
disease 2019 (COVID-19) in health workers. The primary objective of this study is to characterize
and assess the risk factors for SARS-CoV-2 infection in health workers exposed to COVID-19
patients.
A scientific brief has been published by WHO investigating any association between smoking and
"an increased risk for COVID-19. At the time of this review, the available evidence suggests that in"
"hospitalized COVID-19 patients, smoking is associated with increased severity of disease and"
death.
WHO has published a population-based age-stratified seroepidemiological investigation protocol
"for COVID-19 virus infection. This protocol was designed to investigate the extent of infection,"
"as determined by positive blood tests in the general population, in any country in which COVID-"
19 virus infection has been reported.
Elements of the COVID-19 Strategic Response and Preparedness Plan (SPRP) have been
updated and are reviewed on a regular basis by WHO in consultation of all six regional offices.
These elements are laid out in the COVID-19 WHO Appeal.
"In today’s ‘Subject in Focus’ below, the WHO Infodemics management pillar explores how WHO is"
listening to social media to get ahead of the infodemic.
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,24 264,649,524,43,Community transmission,0
Algeria,8 697,194,617,8,Community transmission,0
Nigeria,8 344,276,249,16,Community transmission,0
Ghana,6 964,156,32,0,Community transmission,0
Cameroon,5 436,546,177,12,Community transmission,0
Guinea,3 358,36,20,0,Community transmission,0
Senegal,3 161,31,37,2,Community transmission,0
Côte d’Ivoire,2 477,54,30,0,Community transmission,0
Democratic Republic of the Congo,2 402,98,67,1,Community transmission,0
Gabon,2 238,103,14,0,Community transmission,0
Kenya,1 348,62,52,0,Community transmission,0
Guinea-Bissau,1 173,0,6,0,Community transmission,2
Mali,1 077,18,70,3,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,3
Niger,952,1,63,1,Community transmission,0
Zambia,920,0,7,0,Community transmission,4
Burkina Faso,845,4,53,1,Community transmission,0
South Sudan,806,151,8,0,Clusters of cases,0
Sierra Leone,754,19,44,2,Community transmission,0
Ethiopia,701,46,6,1,Clusters of cases,0
Chad,700,13,62,1,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Central African Republic,652,0,1,0,Clusters of cases,1
Madagascar,586,44,2,0,Clusters of cases,0
Congo,569,38,19,2,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,19
Togo,391,5,13,0,Community transmission,0
