Today we celebrate World No Tobacco Day. Smoking kills 8 million people worldwide each year
and is associated with increased severity of disease and death in hospitalized COVID-19 patients.
People living with noncommunicable diseases (NCDs) are more vulnerable to becoming
severely ill or dying from COVID-19. The pandemic has also caused NCD service disruption
"according to preliminary results of a rapid assessment, and WHO encourages governments to"
‘build back better’.
The President of Costa Rica and  WHO Director-General Dr Tedros launched the COVID-19
"Technology Access Pool, a policy  initiative aimed at making vaccines, tests, treatments and"
other health technologies to fight COVID-19 accessible to all. The initiative has five priority
areas.
"Dr Hans Henri P. Kluge, WHO Regional Director for Europe, has released a statement"
analysing the COVID-19 pandemic in Europe and emphasizing that recovery must lead to a
"different economy, an economy of well-being."
""
The WHO Regional Office for Africa has urged caution as countries ease lockdowns. WHO
"Regional Director Dr Moeti stressed that “Ending a lockdown is not an event, but a process...”"
""
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,Reporting Country/ Territory/Are,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new death,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",Africa,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,Reporting Country/ Territory/Are
Total deaths,Total deaths
Total new deaths,Total new death
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Chad,759,0,65,0,Community transmission,1
Madagascar,758,60,6,1,Clusters of cases,0
Congo,587,0,19,0,Community transmission,1
United Republic of Tanzania,509,0,21,0,Community transmission,23
Mauritania,483,60,21,1,Clusters of cases,0
Uganda,446,36,0,0,Sporadic cases,0
Togo,428,0,13,0,Community transmission,1
Cabo Verde,421,16,4,0,Clusters of cases,0
Rwanda,359,4,1,1,Sporadic cases,0
Mauritius,335,0,10,0,Clusters of cases,1
São Tomé and Príncipe,295,0,10,0,Clusters of cases,4
Eswatini,283,4,2,0,Clusters of cases,0
Liberia,280,7,27,0,Community transmission,0
Malawi,279,6,4,0,Clusters of cases,0
Mozambique,244,10,2,0,Clusters of cases,0
Benin,232,14,3,0,Community transmission,0
Zimbabwe,174,25,4,0,Sporadic cases,0
Angola,84,3,4,0,Clusters of cases,0
Comoros,43,0,2,0,Community transmission,6
Burundi,42,0,1,0,Clusters of cases,13
Eritrea,39,0,0,0,Sporadic cases,42
Botswana,35,0,1,0,Clusters of cases,6
Gambia,25,0,1,0,Sporadic cases,8
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Namibia,23,0,0,0,Sporadic cases,1
Seychelles,11,0,0,0,Clusters of cases,54
Lesotho,2,0,0,0,Sporadic cases,8
Territoriesii,,,,,,
Mayotte,1 743,44,21,0,Clusters of cases,0
Réunion,471,1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 716 078,21 214,101 567,1 263,Community transmission,0
Brazil,465 166,26 928,27 878,1 124,Community transmission,0
Peru,148 285,6 506,4 230,131,Community transmission,0
Chile,94 858,4 220,997,53,Community transmission,0
Canada,89 741,885,6 996,78,Community transmission,0
Mexico,84 627,3 227,9 415,371,Community transmission,0
Ecuador,38 571,0,3 334,0,Community transmission,1
Colombia,26 688,1 322,853,31,Community transmission,0
Dominican Republic,16 908,377,498,10,Community transmission,0
Argentina,14 702,0,510,0,Community transmission,1
Panama,12 531,400,326,6,Community transmission,0
Bolivia (Plurinational State of),8 731,344,300,7,Community transmission,0
Honduras,4 886,134,199,3,Community transmission,0
Guatemala,4 607,259,90,10,Community transmission,0
El Salvador,2 395,117,44,2,Community transmission,0
Cuba,2 025,20,83,1,Clusters of cases,0
Haiti,1 584,141,35,0,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Venezuela (Bolivarian Republic of),1 370,43,14,3,Community transmission,0
Costa Rica,1 022,22,10,0,Clusters of cases,0
Paraguay,964,47,11,0,Community transmission,0
Nicaragua,885,0,35,0,Community transmission,2
Uruguay,816,5,22,0,Clusters of cases,0
Jamaica,575,6,9,0,Clusters of cases,0
Guyana,150,0,11,0,Clusters of cases,1
Trinidad and Tobago,116,0,8,0,Sporadic cases,33
Bahamas,101,0,11,0,Clusters of cases,1
Barbados,92,0,7,0,Clusters of cases,6
Antigua and Barbuda,25,0,3,0,Clusters of cases,27
Saint Vincent and the Grenadines,25,0,0,0,Sporadic cases,2
Grenada,23,0,0,0,Clusters of cases,4
Belize,18,0,2,0,Sporadic cases,46
Saint Lucia,18,0,0,0,Sporadic cases,26
Dominica,16,0,0,0,Clusters of cases,50
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,40
Suriname,12,0,1,0,Sporadic cases,2
Territoriesii,,,,,,
Puerto Rico,3 718,71,133,1,Community transmission,0
French Guiana,436,0,1,0,Clusters of cases,1
Martinique,200,3,14,0,Clusters of cases,0
Guadeloupe,162,0,14,0,Clusters of cases,1
Cayman Islands,141,1,1,0,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Bermuda,140,0,9,0,Clusters of cases,1
Aruba,101,0,3,0,Sporadic cases,25
Sint Maarten,78,0,15,0,Sporadic cases,17
United States Virgin Islands,69,0,6,0,Clusters of cases,20
Saint Martin,41,1,3,0,Sporadic cases,0
Curaçao,20,0,1,0,Sporadic cases,2
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,35
Turks and Caicos Islands,12,0,1,0,Sporadic cases,33
Montserrat,11,0,1,0,Sporadic cases,47
British Virgin Islands,8,0,1,0,Sporadic cases,15
"Bonaire, Sint Eustatius and Saba",7,0,0,0,No cases,5
Saint Barthélemy,6,0,0,0,Sporadic cases,61
Anguilla,3,0,0,0,Sporadic cases,57
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,53
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),148 950,2 282,7 734,57,Community transmission,0
Saudi Arabia,83 384,1 618,480,22,Clusters of cases,0
Pakistan,69 496,3 039,1 483,88,Clusters of cases,0
Qatar,55 262,2 355,36,0,Community transmission,0
United Arab Emirates,33 896,726,262,2,Pending,0
Kuwait,26 192,1 008,205,11,Clusters of cases,0
Egypt,23 449,1 367,913,34,Clusters of cases,0
Afghanistan,15 094,651,250,2,Clusters of cases,0
Bahrain,10 793,344,17,2,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Oman,10 423,603,42,1,Clusters of cases,0
Morocco,7 780,66,204,2,Clusters of cases,0
Iraq,6 179,306,195,10,Clusters of cases,0
Sudan,4 800,279,262,29,Community transmission,0
Djibouti,3 194,280,22,2,Clusters of cases,0
Somalia,1 916,88,73,1,Sporadic cases,0
Lebanon,1 191,19,26,0,Clusters of cases,0
Tunisia,1 076,5,48,0,Community transmission,0
Jordan,734,4,9,0,Clusters of cases,0
Yemen,314,27,78,12,Pending,0
Libya,130,12,5,0,Clusters of cases,0
Syrian Arab Republic,122,0,4,0,Community transmission,2
Territoriesii,,,,,,
occupied Palestinian territory,626,1,5,0,Clusters of cases,0
Europe,,,,,,
Russian Federation,405 843,9 268,4 693,138,Clusters of cases,0
The United Kingdom,272 830,1 604,38 376,215,Community transmission,0
Spain,239 600,664,29 043,4,Community transmission,0
Italy,232 664,416,33 340,111,Community transmission,0
Germany,181 482,286,8 500,11,Community transmission,0
Turkey,163 103,983,4 515,26,Community transmission,0
France,148 436,1 779,28 717,57,Community transmission,0
Belgium,58 186,125,9 453,10,Community transmission,0
Netherlands,46 257,131,5 951,20,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Belarus,41 658,894,229,5,Community transmission,0
Sweden,37 113,637,4 395,45,Community transmission,0
Portugal,32 203,257,1 396,13,Community transmission,0
Switzerland,30 762,17,1 656,0,Community transmission,0
Ireland,24 929,53,1 651,6,Community transmission,0
Ukraine,23 672,468,708,12,Community transmission,0
Poland,23 571,416,1 061,10,Community transmission,0
Romania,19 133,151,1 253,13,Community transmission,0
Israel,17 012,203,284,3,Pending,0
Austria,16 638,44,668,0,Community transmission,0
Denmark,11 633,40,571,3,Community transmission,0
Serbia,11 381,27,242,0,Pending,0
Kazakhstan,10 858,476,38,1,Clusters of cases,0
Armenia,9 282,355,131,4,Community transmission,0
Czechia,9 230,34,319,0,Clusters of cases,0
Norway,8 411,0,236,0,Clusters of cases,1
Republic of Moldova,8 098,202,294,5,Community transmission,0
Finland,6 826,50,316,2,Pending,0
Azerbaijan,5 246,257,61,3,Clusters of cases,0
Luxembourg,4 016,4,110,0,Clusters of cases,0
Hungary,3 867,26,524,7,Community transmission,0
Tajikistan,3 807,121,47,0,Pending,0
Uzbekistan,3 554,41,14,0,Clusters of cases,0
Greece,2 915,6,175,0,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Bulgaria,2 513,14,140,1,Clusters of cases,0
Bosnia and Herzegovina,2 493,9,152,0,Community transmission,0
Croatia,2 246,1,103,0,Community transmission,0
North Macedonia,2 164,34,131,5,Clusters of cases,0
Estonia,1 865,6,67,0,Pending,0
Iceland,1 806,1,10,0,Community transmission,0
Kyrgyzstan,1 748,26,16,0,Clusters of cases,0
Lithuania,1 670,8,70,2,Community transmission,0
Slovakia,1 521,1,28,0,Clusters of cases,0
Slovenia,1 473,0,108,0,Clusters of cases,2
Albania,1 136,14,33,0,Clusters of cases,0
Latvia,1 065,1,24,0,Clusters of cases,0
Cyprus,943,2,17,0,Clusters of cases,0
Georgia,783,26,12,0,Community transmission,0
Andorra,764,0,51,0,Community transmission,2
San Marino,687,0,42,0,Community transmission,2
Malta,616,0,7,0,Sporadic cases,2
Montenegro,324,0,9,0,Clusters of cases,25
Monaco,98,0,1,0,Sporadic cases,7
Liechtenstein,83,0,1,0,Pending,35
Holy See,12,0,0,0,Sporadic cases,24
Territoriesii,,,,,,
Kosovo[1],1 064,16,30,0,Community transmission,0
Isle of Man,336,0,24,0,Pending,9
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Jersey,308,0,29,0,Community transmission,2
Guernsey,252,0,13,0,Community transmission,28
Faroe Islands,187,0,0,0,Pending,37
Gibraltar,161,3,0,0,Clusters of cases,0
Greenland,13,0,0,0,Pending,2
South-East Asia,,,,,,
India,182 143,8 380,5 164,193,Clusters of cases,0
Bangladesh,44 608,1 764,610,28,Clusters of cases,0
Indonesia,25 773,557,1 573,53,Community transmission,0
Thailand,3 081,4,57,0,Clusters of cases,0
Maldives,1 672,81,5,0,Clusters of cases,0
Sri Lanka,1 620,62,10,0,Clusters of cases,0
Nepal,1 401,189,6,0,Sporadic cases,0
Myanmar,224,17,6,0,Clusters of cases,0
Bhutan,33,0,0,0,Sporadic cases,1
Timor-Leste,24,0,0,0,Clusters of cases,37
Western Pacific,,,,,,
China,84 570,5,4 645,0,Clusters of cases,0
Singapore,34 366,506,23,0,Clusters of cases,0
Philippines,17 224,590,950,8,Community transmission,0
Japan,16 851,47,891,5,Clusters of cases,0
Republic of Korea,11 468,27,270,1,Clusters of cases,0
Malaysia,7 762,30,115,0,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Australia,7 185,12,103,0,Clusters of cases,0
