"During the 1 June media briefing, WHO Director-General Dr Tedros highlighted that the"
COVID-19 pandemic has led to disruptions in services for treatment of non-communicable
diseases in many countries. The COVID-19 response must be inclusive of the healthcare needs
of people living with these diseases.
"WHO has published a new operational guidance on maintaining essential health services,"
"which provides recommendations for practical actions that countries can take at national, sub-"
"regional and local levels to reorganize and safely maintain access to high-quality, essential"
health services during the pandemic.
Transporting COVID-19 medical supplies to those in need requires timely decision-making and
trouble-shooting skills. The Regional Office for the Eastern Mediterranean document a week in
the life of logistics expert coordinating massive shipments of medical supplies to Yemen.
WHO’s support to countries in securing medical products for COVID-19 treatment is
highlighted in the ‘Subject in Focus’ below.
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Madagascar,826,55,6,0,Clusters of cases,0
Chad,790,12,66,1,Community transmission,0
Congo,611,7,20,0,Community transmission,0
Mauritania,530,0,23,0,Clusters of cases,1
United Republic of Tanzania,509,0,21,0,Community transmission,25
Cabo Verde,458,23,4,0,Clusters of cases,0
Uganda,458,0,0,0,Sporadic cases,1
Togo,443,1,13,0,Community transmission,0
Rwanda,377,7,1,0,Sporadic cases,0
Malawi,336,52,4,0,Clusters of cases,0
Mauritius,335,0,10,0,Clusters of cases,3
Liberia,296,8,27,0,Community transmission,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,6
Eswatini,293,8,3,1,Clusters of cases,0
Mozambique,254,0,2,0,Clusters of cases,1
Benin,243,11,3,0,Community transmission,0
Zimbabwe,178,0,4,0,Sporadic cases,1
Angola,86,0,4,0,Clusters of cases,1
Burundi,63,0,1,0,Clusters of cases,1
Comoros,62,0,2,0,Community transmission,1
Eritrea,39,0,0,0,Sporadic cases,44
Botswana,38,0,1,0,Clusters of cases,1
Gambia,25,0,1,0,Sporadic cases,10
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Namibia,25,1,0,0,Sporadic cases,0
Seychelles,11,0,0,0,Clusters of cases,56
Lesotho,2,0,0,0,Sporadic cases,10
Territoriesii,,,,,,
Mayotte,1 934,63,24,1,Clusters of cases,0
Réunion,473,2,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 783 638,26 116,104 247,693,Community transmission,0
Brazil,514 849,16 409,29 314,480,Community transmission,0
Peru,164 476,8 805,4 506,135,Community transmission,0
Chile,105 159,5 471,1 113,59,Community transmission,0
Canada,91 351,835,7 305,213,Community transmission,0
Mexico,90 664,3152,9 930,151,Community transmission,0
Ecuador,39 098,0,3 358,0,Community transmission,1
Colombia,29 383,1 147,939,49,Community transmission,0
Dominican Republic,17 572,287,502,0,Community transmission,0
Argentina,16 851,637,541,11,Community transmission,0
Panama,13 463,445,336,6,Community transmission,0
Bolivia (Plurinational State of),9 982,390,313,3,Community transmission,0
Honduras,5 202,108,212,11,Community transmission,0
Guatemala,5 087,348,108,6,Community transmission,0
El Salvador,2 582,65,46,0,Community transmission,0
Haiti,2 124,259,44,3,Community transmission,0
Cuba,2 083,38,83,0,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Venezuela (Bolivarian Republic of),1 510,51,14,0,Community transmission,0
Costa Rica,1 056,9,10,0,Clusters of cases,0
Paraguay,995,9,11,0,Community transmission,0
Nicaragua,885,0,35,0,Community transmission,4
Uruguay,823,2,22,0,Clusters of cases,0
Jamaica,581,0,9,0,Clusters of cases,1
Guyana,153,1,12,0,Clusters of cases,0
Trinidad and Tobago,117,0,8,0,Sporadic cases,1
Bahamas,102,1,11,0,Clusters of cases,0
Barbados,92,0,7,0,Clusters of cases,8
Suriname,27,13,1,0,Sporadic cases,0
Saint Vincent and the Grenadines,26,0,0,0,Sporadic cases,1
Antigua and Barbuda,25,0,3,0,Clusters of cases,29
Grenada,23,0,0,0,Clusters of cases,6
Belize,18,0,2,0,Sporadic cases,48
Saint Lucia,18,0,0,0,Sporadic cases,28
Dominica,16,0,0,0,Clusters of cases,52
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,42
Territoriesii,,,,,,
Puerto Rico,3 873,97,136,0,Community transmission,0
French Guiana,499,22,1,0,Clusters of cases,0
Martinique,200,0,14,0,Clusters of cases,2
Guadeloupe,162,0,14,0,Clusters of cases,3
Cayman Islands,141,0,1,0,Clusters of cases,2
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Bermuda,140,0,9,0,Clusters of cases,3
Aruba,101,0,3,0,No cases,27
Sint Maarten,78,0,15,0,Sporadic cases,19
United States Virgin Islands,70,1,6,0,Clusters of cases,0
Saint Martin,41,0,3,0,Sporadic cases,2
Curaçao,20,0,1,0,Sporadic cases,4
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,37
Turks and Caicos Islands,12,0,1,0,Sporadic cases,35
