Basic psychosocial support skills are at the core of any mental health and psychosocial support intervention.
"To assist all those involved in the COVID-19 response, WHO has published guidance on basic psychosocial"
skills.
"At the Yemen High-level Pledging Conference, Dr Mike Ryan, Executive Director, WHO Health Emergencies"
"Programme emphasized that COVID-19 was placing a major burden on the health system, already on the"
"verge of collapse , and that despite the considerable efforts of WHO and partners in Yemen, ‘we need a"
massive scale-up of our COVID and non-COVID health operations to assist some of the most vulnerable
populations in the world’.
"On 29 May 2020, WHO and the International Labour Organization (ILO) hosted a webinar on returning to work"
in the context of COVID-19. For more information see the ‘Subject in Focus’ below.
A record number of countries have contributed data revealing disturbing rates of antimicrobial resistance.
WHO is concerned that the trend will further be fueled by the inappropriate use of antibiotics during the
COVID-19 pandemic.
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,35 812,1 455,755,50,Community transmission,0
Nigeria,10 819,241,314,15,Community transmission,0
Algeria,9 626,113,667,6,Community transmission,0
Ghana,8 297,227,38,2,Community transmission,0
Cameroon,6 585,188,200,1,Community transmission,0
Guinea,3 886,42,23,0,Community transmission,0
Senegal,3 836,97,43,1,Community transmission,0
Democratic Republic of the Congo,3 325,131,71,0,Community transmission,0
Côte d’Ivoire,3 024,73,33,0,Community transmission,0
Gabon,2 803,148,20,3,Community transmission,0
Kenya,2 093,72,71,2,Community transmission,0
Mali,1 351,36,78,0,Community transmission,0
Ethiopia,1 344,87,14,2,Clusters of cases,0
Guinea-Bissau,1 339,0,8,0,Community transmission,1
Zambia,1 089,0,7,0,Community transmission,1
Central African Republic,1 069,0,4,0,Clusters of cases,1
Equatorial Guinea,1 043,0,12,0,Community transmission,10
South Sudan,994,0,10,0,Clusters of cases,5
Niger,960,2,65,1,Community transmission,0
Sierra Leone,896,31,46,0,Community transmission,0
Burkina Faso,884,1,53,0,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Madagascar,845,19,6,0,Clusters of cases,0
Chad,803,13,66,0,Community transmission,0
Congo,618,7,20,0,Community transmission,0
Mauritania,588,58,26,3,Clusters of cases,0
Uganda,586,128,0,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,26
Cabo Verde,466,8,5,1,Clusters of cases,0
