"A new technical note, Medical certification, ICD mortality coding, and reporting mortality"
"associated with COVID-19, has been released that describes medical certification and"
classification of deaths related to COVID-19. The primary goal is to identify all deaths due to this
disease in all countries.
WHO welcomes crucial new funding for vaccines which was pledged at the Global Vaccine
"Summit. The new pledges will enable Gavi, the Vaccine Alliance, to protect the next generation"
and reduce disease inequality by reaching an additional 300 million children with vaccines by
"2025. The Summit also highlighted how important a safe, effective and equitably accessible"
vaccine will be in controlling COVID-19.
"In today’s ‘Subject in Focus’ below, we provide an update on partner coordination activities."
"This includes the work of the Global Health Cluster, the Global Outbreak Alert and Response"
"Network, risk communications and community engagement, and the Emergency Medical"
Teams network.
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Mauritania,947,0,43,0,Clusters of cases,1
Burkina Faso,888,0,53,0,Community transmission,1
Chad,837,1,69,0,Community transmission,0
Uganda,745,23,0,0,Sporadic cases,0
Congo,683,30,22,2,Community transmission,0
Cabo Verde,554,12,5,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,31
Togo,495,8,13,0,Community transmission,0
Rwanda,439,8,2,0,Sporadic cases,0
Malawi,438,29,4,0,Clusters of cases,0
Mozambique,424,15,2,0,Clusters of cases,0
Liberia,359,14,30,0,Community transmission,0
Mauritius,337,0,10,0,Clusters of cases,2
Eswatini,333,11,3,0,Clusters of cases,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,12
Zimbabwe,279,0,4,0,Sporadic cases,1
Benin,268,0,4,0,Community transmission,1
Comoros,97,0,2,0,Community transmission,1
Angola,91,5,4,0,Clusters of cases,0
Burundi,83,0,1,0,Clusters of cases,1
Eritrea,41,0,0,0,Sporadic cases,3
Botswana,40,0,1,0,Clusters of cases,5
Namibia,29,0,0,0,Sporadic cases,1
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
