More than 7 million cases of COVID-19 and over 400 000 deaths have now been reported to WHO. Although
"the situation in Europe is improving, globally it is worsening. On Sunday, more than 136 000 cases were"
"reported, the most in a single day so far. In countries seeing positive signs, the WHO Director-General warned"
in his media briefing yesterday ‘the biggest threat now is complacency’.
The WHO Regional Office for the Americas has published a guide with recommendations on measures to
"reduce COVID-19 transmission among indigenous populations, Afro-descendants, and other ethnic groups. The"
"recommendations focus on promoting hygiene, social distancing, and improving access to basic health services"
in these communities.
WHO fully supports equality and the global movement against racism. We encourage all those protesting
"around the world to do so safely: as much as possible, keep at least 1 metre from others, clean your hands,"
cover your cough and wear a mask if you attend a protest.
WHO has published 14 new community and risk engagement posters on parenting during the pandemic. Some
"of the topics that these posters cover include: learning through play, keeping calm and managing stress,"
"keeping children safe online, family budgeting in times of financial stress, and talking about COVID-19."
""
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,973,0,65,0,Community transmission,1
Burkina Faso,890,2,53,0,Community transmission,0
Chad,839,2,70,1,Community transmission,0
Uganda,775,30,0,0,Sporadic cases,0
Congo,683,0,20,-2,Community transmission,1
Cabo Verde,567,13,5,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,32
Togo,497,2,13,0,Community transmission,0
Rwanda,451,12,2,0,Sporadic cases,0
Malawi,443,5,4,0,Clusters of cases,0
Mozambique,433,9,2,0,Clusters of cases,0
Liberia,370,11,30,0,Community transmission,0
Eswatini,340,7,3,0,Clusters of cases,0
Mauritius,337,0,10,0,Clusters of cases,3
Benin,305,37,4,0,Community transmission,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,13
Zimbabwe,287,8,4,0,Sporadic cases,0
Comoros,97,0,2,0,Community transmission,2
Angola,92,1,4,0,Clusters of cases,0
Burundi,83,0,1,0,Clusters of cases,2
Botswana,42,2,1,0,Clusters of cases,0
Eritrea,41,0,0,0,Sporadic cases,4
Namibia,31,2,0,0,Sporadic cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Gambia,28,2,1,0,Sporadic cases,0
Seychelles,11,0,0,0,Clusters of cases,63
Lesotho,4,0,0,0,Sporadic cases,5
Territoriesii,,,,,,
