"The WHO Regional Director for the Eastern Mediterranean, Dr Ahmed Al-Mandhari, has released a statement"
on the status of the pandemic in the Region. He warns that cases in the region have increased during the past
three weeks and there is the risk cases will continue to increase as many countries ease restrictions. He
"reiterated that every country’s best defense against COVID-19 is to find, isolate, test and care for every case"
and to trace and quarantine every contact.
"Somalia is expanding its Early Warning, Alert and Response Network (EWARN) across the country to facilitate"
early detection of suspected cases of COVID-19. WHO will be supporting the roll out of the EWARN system to
"an additional 230 health centres beyond the current 533 reporting sites, with COVID-19 now being a reportable"
health condition in Somalia.
"In today’s ‘Subject in Focus’ below, we present interim guidance on the use of masks in the context of COVID-"
19.
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new death,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
Total deaths,Total deaths
Total new deaths,Total new death
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,974,0,65,0,Community transmission,1
Burkina Faso,891,0,53,0,Community transmission,1
Chad,846,2,72,1,Community transmission,0
Uganda,794,19,0,0,Sporadic cases,0
Congo,728,10,24,0,Community transmission,0
Cabo Verde,616,31,5,0,Clusters of cases,0
Togo,522,25,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,34
Rwanda,476,13,2,0,Sporadic cases,0
Mozambique,472,19,2,0,Clusters of cases,0
Malawi,455,0,4,0,Clusters of cases,1
Eswatini,398,27,3,0,Clusters of cases,0
Liberia,397,14,31,0,Community transmission,0
São Tomé and Príncipe,388,93,10,0,Clusters of cases,0
Benin,339,0,4,0,Community transmission,1
Mauritius,337,0,10,0,Clusters of cases,5
Zimbabwe,320,6,4,0,Sporadic cases,0
Comoros,162,65,2,0,Community transmission,0
Angola,113,17,4,0,Clusters of cases,0
Burundi,83,0,1,0,Clusters of cases,4
Botswana,48,6,1,0,Clusters of cases,0
Eritrea,41,0,0,0,Sporadic cases,6
Namibia,31,0,0,0,Sporadic cases,2
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Gambia,28,0,1,0,Sporadic cases,2
Seychelles,11,0,0,0,Clusters of cases,65
Lesotho,4,0,0,0,Sporadic cases,7
Territoriesii,,,,,,
Mayotte,2 226,51,28,0,Clusters of cases,0
Réunion,486,5,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 968 331,17 235,111 978,1 208,Community transmission,0
Brazil,739 503,32 091,38 406,1 272,Community transmission,0
Peru,203 736,4 040,5 738,167,Community transmission,0
Chile,148 496,5 737,2 475,192,Community transmission,0
Mexico,124 301,4 199,14 649,596,Community transmission,0
Canada,96 653,409,7 897,62,Community transmission,0
Ecuador,44 440,523,3 720,30,Community transmission,0
Colombia,42 078,1 359,1 372,64,Community transmission,0
Argentina,24 761,1 141,717,19,Community transmission,0
Dominican Republic,20 808,393,550,6,Community transmission,0
Panama,17 233,379,403,5,Community transmission,0
Bolivia (Plurinational State of),14 644,695,487,12,Community transmission,0
Guatemala,7 866,364,289,22,Community transmission,0
Honduras,6 935,485,271,9,Community transmission,0
Haiti,3 662,124,56,2,Community transmission,0
El Salvador,3 274,83,60,2,Community transmission,0
Venezuela (Bolivarian Republic of),2 632,159,23,1,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Cuba,2 211,6,83,0,Clusters of cases,0
Nicaragua,1 655,346,55,9,Community transmission,0
Costa Rica,1 375,33,12,2,Clusters of cases,0
Paraguay,1 202,15,11,0,Community transmission,0
Uruguay,846,1,23,0,Clusters of cases,0
Jamaica,598,0,10,0,Clusters of cases,2
Guyana,156,2,12,0,Clusters of cases,0
Suriname,137,4,2,0,Clusters of cases,0
Trinidad and Tobago,117,0,8,0,Sporadic cases,10
Bahamas,103,0,11,0,Clusters of cases,4
Barbados,96,4,7,0,Clusters of cases,0
Saint Vincent and the Grenadines,27,0,0,0,Sporadic cases,2
Antigua and Barbuda,25,0,3,0,Clusters of cases,38
Grenada,23,0,0,0,Clusters of cases,15
Belize,20,1,2,0,Sporadic cases,0
Saint Lucia,19,0,0,0,Sporadic cases,5
Dominica,16,0,0,0,Clusters of cases,61
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,51
Territoriesii,,,,,,
Puerto Rico,5 329,144,143,1,Community transmission,0
French Guiana,865,92,2,0,Clusters of cases,0
Martinique,202,0,14,0,Clusters of cases,4
Cayman Islands,176,5,1,0,Clusters of cases,0
Guadeloupe,164,0,14,0,Clusters of cases,5
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Bermuda,141,0,9,0,Clusters of cases,8
Aruba,101,0,3,0,No cases,36
Sint Maarten,77,0,15,0,Sporadic cases,5
United States Virgin Islands,72,1,6,0,Clusters of cases,0
Saint Martin,41,0,3,0,Sporadic cases,11
Curaçao,22,1,1,0,Sporadic cases,0
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,46
Turks and Caicos Islands,12,0,1,0,Sporadic cases,44
Montserrat,11,0,1,0,Sporadic cases,58
British Virgin Islands,8,0,1,0,Sporadic cases,26
"Bonaire, Sint Eustatius and Saba",7,0,0,0,No cases,16
Saint Barthélemy,6,0,0,0,Sporadic cases,72
