"WHO Director-General Dr Tedros, in his regular media briefing yesterday, stressed that"
"“Despite the ongoing global response to the COVID-19 pandemic, we cannot lose sight of"
"other significant public health issues, including influenza”. WHO urges countries to"
address the sharp decline in influenza surveillance and testing during the COVID-19
"pandemic, especially as the southern hemisphere enters the flu season."
"Yemen is the world’s worst humanitarian crisis, and it is now facing another major threat"
to health security — COVID-19. A health care worked asked Yemenis to be extremely vigilant
"and protect themselves, and urged them to stay at home as health care workers put their lives"
at unprecedented risk to save lives.
"In today’s Subject in Focus, we look at the WHO Information Network for Epidemics (EPI-WIN),"
which is  tackling the spread of mis- and dis-information and rumours during the COVID-19
pandemic.
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,73 533,3 495,1 568,88,Community transmission,0
Nigeria,16 658,573,424,4,Community transmission,0
Ghana,11 964,542,54,3,Community transmission,0
Algeria,11 031,112,777,10,Community transmission,0
Cameroon,9 864,292,276,1,Community transmission,0
Senegal,5 090,0,60,0,Community transmission,1
Côte d’Ivoire,5 084,0,45,0,Community transmission,1
Democratic Republic of the Congo,4 777,0,106,0,Community transmission,1
Guinea,4 572,38,26,1,Community transmission,0
Gabon,4 033,570,27,4,Community transmission,0
Kenya,3 727,133,104,1,Community transmission,0
Ethiopia,3 521,176,60,3,Community transmission,0
Central African Republic,2 222,0,7,0,Community transmission,1
Mali,1 860,51,104,0,Community transmission,0
Mauritania,1 783,0,87,0,Clusters of cases,1
South Sudan,1 755,62,30,3,Clusters of cases,0
Guinea-Bissau,1 460,0,15,0,Community transmission,2
Zambia,1 382,24,11,0,Community transmission,0
Madagascar,1 290,18,10,0,Clusters of cases,0
Sierra Leone,1 176,7,51,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,23
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,980,0,66,0,Community transmission,1
Burkina Faso,894,0,53,0,Community transmission,1
Congo,883,104,27,2,Community transmission,0
Chad,850,0,73,0,Community transmission,1
Uganda,823,0,0,0,Sporadic cases,2
Cabo Verde,760,10,7,1,Clusters of cases,0
Rwanda,612,30,2,0,Sporadic cases,0
Mozambique,609,26,3,1,Clusters of cases,0
Malawi,556,9,6,0,Clusters of cases,0
