"WHO welcomes initial clinical trial results from the United Kingdom that show dexamethasone, a"
"corticosteroid, can be lifesaving for patients who are critically ill with COVID-19. According to"
"preliminary findings shared with WHO, for patients on ventilators, the treatment was shown to"
"reduce mortality by about one third, and for patients who only require oxygen, mortality was cut by"
about one fifth.
Older people have been severely affected by the COVID-19 pandemic. Leaders from around the
"world have expressed their concern, and called for a response that addresses the needs and rights"
of older people.
"Dr. Carissa F. Etienne, Director of the WHO Regional Office for the Americas (PAHO), has called"
on countries to “work together to strengthen the health response within their territories and
"across frontiers,” in order to contain the spread of COVID-19 among migrant and vulnerable"
populations in border areas.
"PAHO has extended its alliance with Twitter to provide factual, reliable information on the COVID-"
19 pandemic in the Americas. An agreement recently signed with the platform will enable it to
continue training public health social media managers and provide advertising credits to PAHO for
the dissemination of evidence-based information.
"In today’s ‘Subject in Focus’ below, we provide an update on operations support and logistics"
supplies.
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
Total deaths,Total deaths
Total new deaths,Total new deaths
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,otal confirmed,,,otal confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,ays since last,
"",ases,ew cases,classificationi,eported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,1 016,36,66,0,Community transmission,0
Burkina Faso,895,1,53,0,Community transmission,0
Congo,883,0,27,0,Community transmission,1
Chad,853,3,74,1,Community transmission,0
Uganda,823,0,0,0,Sporadic cases,3
Cabo Verde,781,21,7,0,Clusters of cases,0
Mozambique,638,29,4,1,Clusters of cases,0
Rwanda,636,24,2,0,Sporadic cases,0
Malawi,564,8,6,0,Clusters of cases,0
Togo,537,6,13,0,Community transmission,0
Benin,532,49,9,0,Community transmission,0
Eswatini,520,14,4,0,Clusters of cases,0
Liberia,509,11,33,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,40
Sao Tome and Principe,398,10,10,0,Clusters of cases,0
Zimbabwe,391,4,4,0,Sporadic cases,0
Mauritius,337,0,10,0,Clusters of cases,11
Comoros,197,21,3,1,Community transmission,0
Angola,142,0,6,0,Clusters of cases,1
Eritrea,121,12,0,0,Sporadic cases,0
Burundi,104,0,1,0,Clusters of cases,1
Botswana,60,0,1,0,Clusters of cases,4
Gambia,34,6,1,0,Sporadic cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Namibia,34,2,0,0,Sporadic cases,0
Seychelles,11,0,0,0,Clusters of cases,71
Lesotho,4,0,0,0,Sporadic cases,13
Territoriesii,,,,,,
Mayotte,2 333,23,29,1,Clusters of cases,0
Réunion,495,-  1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 098 106,18 514,115 980,496,Community transmission,0
Brazil,888 271,20 647,43 959,627,Community transmission,0
Peru,232 992,3 256,6 860,172,Community transmission,0
Chile,184 449,5 013,3 383,21,Community transmission,0
Mexico,150 264,3 427,17 580,439,Community transmission,0
Canada,99 147,360,8 175,29,Community transmission,0
Colombia,53 063,2 124,1 726,59,Community transmission,0
Ecuador,47 943,621,3 970,41,Community transmission,0
Argentina,32 785,1 208,862,20,Community transmission,0
Dominican Republic,23 686,415,615,10,Community transmission,0
Panama,21 422,736,448,11,Community transmission,0
Bolivia (Plurinational State of),19 073,614,632,21,Community transmission,0
Guatemala,10 272,427,399,15,Community transmission,0
Honduras,9 178,320,322,10,Community transmission,0
Haiti,4 441,132,76,3,Community transmission,0
El Salvador,3 941,115,76,2,Community transmission,0
Venezuela (Bolivarian Republic of),3 062,84,26,1,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Cuba,2 273,11,84,0,Clusters of cases,0
Costa Rica,1 744,29,12,0,Clusters of cases,0
Nicaragua,1 655,0,55,0,Community transmission,6
Paraguay,1 303,7,12,0,Community transmission,0
Uruguay,848,0,23,0,Clusters of cases,1
Jamaica,621,4,10,0,Clusters of cases,0
Suriname,236,28,6,2,Clusters of cases,0
Guyana,159,0,12,0,Clusters of cases,3
Trinidad and Tobago,123,0,8,0,Sporadic cases,1
Bahamas,104,0,11,0,Clusters of cases,1
Barbados,97,0,7,0,Clusters of cases,1
Saint Vincent and the Grenadines,27,0,0,0,Sporadic cases,8
Antigua and Barbuda,26,0,3,0,Clusters of cases,3
Grenada,23,0,0,0,Clusters of cases,21
Belize,21,0,2,0,Sporadic cases,2
Saint Lucia,19,0,0,0,Sporadic cases,11
Dominica,18,0,0,0,Clusters of cases,4
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,57
Territoriesii,,,,,,
