"The hydroxychloroquine arm of the Solidarity Trial, which seeks to find an effective COVID-",
"19 treatment, is being stopped. The decision is based on evidence from the Solidarity Trial,",
the UK's Recovery trial and a Cochrane review of other evidence,
on hydroxychloroquine. Data shows that hydroxychloroquine does not result in the reduction of,
"mortality of hospitalised COVID-19 patients, when compared with standard of care.",
"Dr Tedros announced the roll out of the WHO Academy, a major new initiative as part of",
"WHO’s transformation. With the WHO Academy, WHO aims to build one of the world’s",
largest and most innovative digital learning platforms to enhance the competencies of health,
"professionals. So far, courses on the OpenWHO.org have received almost 3.5 millio",
enrolments on 12 topics in 31 languages,
Several countries affected by COVID-19 have seen increases in levels of violence occurring,
"in the home, including violence against children, intimate partner violence and violence",
"against older people. A new brief, addressing violence against children, women and older people",
"during the COVID-19 pandemic, outlines key actions that the health sector can undertake to",
prevent or mitigate interpersonal violence.,
Today’s,‘Subject in Focus’,provides a summary of virtual meetings held on COVID-19,
preparedness and response at points of entry from the WHO Regional Office for Africa.,,,
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new death,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
Total deaths,Total deaths
Total new deaths,Total new death
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,1 020,0,67,0,Community transmission,1
Burkina Faso,899,0,53,0,Community transmission,1
Congo,883,0,27,0,Community transmission,3
Chad,854,0,74,0,Community transmission,1
Cabo Verde,823,31,7,0,Clusters of cases,0
Uganda,823,0,0,0,Sporadic cases,5
Mozambique,662,11,4,0,Clusters of cases,0
Rwanda,646,7,2,0,Sporadic cases,0
Benin,597,25,11,2,Community transmission,0
Malawi,592,20,8,2,Clusters of cases,0
Eswatini,586,23,4,0,Clusters of cases,0
Togo,544,7,13,0,Community transmission,0
Liberia,542,26,33,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,42
Zimbabwe,463,62,4,0,Sporadic cases,0
Sao Tome and Principe,388,0,10,0,Clusters of cases,1
Mauritius,337,0,10,0,Clusters of cases,13
Comoros,210,13,5,2,Community transmission,0
Angola,166,11,8,1,Clusters of cases,0
Eritrea,142,11,0,0,Sporadic cases,0
Burundi,104,0,1,0,Clusters of cases,3
Botswana,79,0,1,0,Clusters of cases,1
Namibia,39,5,0,0,Sporadic cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Gambia,36,2,1,0,Sporadic cases,0
Seychelles,11,0,0,0,Clusters of cases,73
Lesotho,4,0,0,0,Sporadic cases,15
Territories ii,,,,,,
Mayotte,2 383,38,29,0,Clusters of cases,0
Réunion,502,5,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 149 166,23 139,117 472,770,Community transmission,0
Brazil,955 377,32 188,46 510,1 269,Community transmission,0
Peru,240 908,3 752,7 257,201,Community transmission,0
Chile,225 103,4 475,3 841,226,Community transmission,0
Mexico,159 793,4 930,19 080,770,Community transmission,0
Canada,99 853,386,8 254,41,Community transmission,0
Colombia,57 046,2 115,1 864,63,Community transmission,0
Ecuador,49 097,607,4 087,80,Community transmission,0
Argentina,35 552,1 393,929,43,Community transmission,0
Dominican Republic,24 645,540,635,2,Community transmission,0
Panama,22 597,635,470,13,Community transmission,0
Bolivia (Plurinational State of),20 685,802,679,20,Community transmission,0
Guatemala,11 251,545,432,14,Community transmission,0
