"The WHO Regional Director for Europe, Dr Hans Henri P. Kluge, shared that the European"
Region accounts for 31% of COVID-19 cases and 43% of COVID-19 deaths globally. Dr Kluge
highlighted that several countries continue to face increasing disease incidence and that
“Preparing for the autumn is a priority now at the WHO Regional Office for Europe”.
"The WHO Regional Director for the Eastern Mediterranean, Dr Ahmed Al-Mandhari, has"
released a statement on COVID-19. He highlighted that while there is a wide body of research
"on COVID-19, many things are still unknown. He reiterated that as knowledge of the disease"
"evolves, recommendations about how best to control the pandemic are also evolving."
A survey conducted by the WHO Regional Office for the Americas highlight that services for the
prevention and treatment of noncommunicable diseases (NCDs) have been critically affected
since the onset of the COVID-19 pandemic in the Region.
Oman has launched some of the most powerful technological solutions deployed to date in
the Middle East to track the movement and spread of COVID-19 and ensure patient
"compliance with isolation measures, in an effort to contain the disease in the country."
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,92 681,4 966,1 877,46,Community transmission,0
Nigeria,19 808,661,506,19,Community transmission,0
Ghana,13 717,514,85,15,Community transmission,0
Algeria,11 631,127,837,12,Community transmission,0
Cameroon,10 638,0,282,0,Community transmission,1
Côte d’Ivoire,7 276,402,52,3,Community transmission,0
Senegal,5 783,144,82,3,Community transmission,0
Democratic Republic of the Congo,5 671,195,124,3,Community transmission,0
Guinea,4 960,56,27,0,Community transmission,0
Kenya,4 478,104,121,2,Community transmission,0
Ethiopia,4 469,399,72,0,Community transmission,0
Gabon,4 428,88,34,2,Community transmission,0
Central African Republic,2 808,203,23,4,Community transmission,0
Mauritania,2 621,197,102,5,Clusters of cases,0
Mali,1 933,10,109,1,Community transmission,0
South Sudan,1 864,34,34,2,Clusters of cases,0
Guinea-Bissau,1 512,0,16,0,Community transmission,2
Madagascar,1 503,60,13,0,Clusters of cases,0
Zambia,1 430,0,11,0,Community transmission,1
Sierra Leone,1 309,11,53,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,28
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,1 035,9,67,0,Community transmission,0
Burkina Faso,901,0,53,0,Community transmission,1
Congo,883,0,27,0,Community transmission,5
Cabo Verde,863,15,8,0,Clusters of cases,0
