Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,124 590,6 215,2 340,48,Community transmission,0
Nigeria,23 298,684,554,5,Community transmission,0
Ghana,15 834,361,103,8,Community transmission,0
Algeria,12 685,240,885,7,Community transmission,0
Cameroon,12 592,0,313,0,Community transmission,1
Côte d’Ivoire,8 739,405,64,4,Community transmission,0
Democratic Republic of the Congo,6 551,141,148,7,Community transmission,0
Senegal,6 354,121,98,4,Community transmission,0
Kenya,5 533,149,137,5,Community transmission,0
Ethiopia,5 425,250,89,8,Community transmission,0
Guinea,5 260,49,29,0,Community transmission,0
Gabon,5 209,122,40,0,Community transmission,0
Mauritania,3 739,220,119,3,Clusters of cases,0
Central African Republic,3 340,96,40,0,Community transmission,0
Mali,2 060,21,113,0,Community transmission,0
South Sudan,1 952,10,36,0,Clusters of cases,0
Madagascar,1 829,0,16,0,Clusters of cases,1
Guinea-Bissau,1 556,0,19,0,Community transmission,4
Zambia,1 531,34,21,3,Community transmission,0
Sierra Leone,1 394,13,59,3,Community transmission,0
Congo,1 204,0,38,0,Community transmission,1
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,1 059,0,67,0,Community transmission,1
Benin,1 053,36,14,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,34
Cabo Verde,1 027,24,10,2,Clusters of cases,0
Malawi,1 005,45,13,1,Clusters of cases,0
Burkina Faso,934,0,53,0,Community transmission,2
Chad,865,2,74,0,Community transmission,0
Rwanda,858,8,2,0,Sporadic cases,0
Uganda,833,12,0,0,Sporadic cases,0
Mozambique,788,0,5,0,Clusters of cases,1
Eswatini,731,25,8,0,Clusters of cases,0
Liberia,684,3,34,0,Community transmission,0
Togo,591,3,14,0,Community transmission,0
Zimbabwe,561,10,7,1,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,50
Sao Tome and Principe,392,0,11,0,Clusters of cases,1
Mauritius,341,0,10,0,Clusters of cases,2
Comoros,272,0,7,0,Community transmission,1
Angola,212,0,10,0,Clusters of cases,1
Eritrea,167,23,0,0,Sporadic cases,0
Burundi,144,0,1,0,Clusters of cases,6
Botswana,125,0,1,0,Clusters of cases,2
