WHO Director-General  Dr Tedros acknowledged how civil society has played a critical role in responding to this
"pandemic by highlighting the needs of the most vulnerable, fighting for an equitable response, and"
"holding decision-makers to account, in his address to a webinar on “civil society engagement in COVID-19"
"response at national and local levels”, organised by WHO’s Health Partnerships department."
"The burden of COVID-19 is overwhelming fragile health systems in Africa, although the accelerating trend of"
"increasing cases is not uniformly distributed across the region. WHO Regional Director for Africa, Dr Matshidiso"
"Moeti emphasized that “if countries continue to strengthen key public health measures such as testing, tracing"
"contacts and isolating cases, we can slow down the spread of the virus to a manageable level.”"
"WHO Regional Director for Europe, Dr. Hans Henri P. Kluge urged countries  to  stand firm and stay focused on"
what we know works to hold the virus at bay; step in swiftly at the first  sign of local surges; and  sign up to be
part of a new culture of health during the summer months.
Today we include two reports in the ‘Subject in Focus’ below. The first summarizes key points on the updated
scientific brief on what we currently know about the transmission of SARS-CoV-2. The second provides an
overview of a virtual meeting that was held to share experiences and lessons learnt in COVID-19 preparedness
and response at points of entry in Central Africa.
Situation in numbers (by WHO Region)
Total (new cases in last 24 hours)
Globally  12 102 328 cases (228 102) 551 046 deaths (5 565)
Africa  428 051 cases (17 307) 7 733 deaths (174)
Americas  6 264 626 cases (138 824)276 370 deaths (3 764)
Eastern Mediterranean 1 238 779 cases (16 709) 29 690 deaths (563)
Europe2 868 080 cases (20 193) 202 341 deaths (488)
South-East Asia 1 065 093 cases (32 926) 27 382 deaths (574)
Western Pacific 236 958 cases (2 143) 7 517 deaths (2)
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,238 339,13 674,3 720,118,Community transmission,0
Nigeria,30 748,499,689,5,Community transmission,0
Ghana,23 463,641,129,0,Community transmission,0
Algeria,17 808,460,988,10,Community transmission,0
Cameroon,14 916,0,359,0,Community transmission,2
Côte d’Ivoire,11 504,0,78,0,Community transmission,1
Kenya,8 975,447,173,4,Community transmission,0
Democratic Republic of the Congo,7 845,109,188,5,Community transmission,0
Senegal,7 784,127,143,2,Community transmission,0
Ethiopia,7 120,147,124,4,Community transmission,0
Guinea,5 881,184,36,2,Community transmission,0
Gabon,5 871,0,46,0,Community transmission,1
Mauritania,5 087,63,139,4,Clusters of cases,0
Central African Republic,4 200,91,52,0,Community transmission,0
Madagascar,3 782,209,33,0,Clusters of cases,0
Mali,2 370,12,120,0,Community transmission,0
South Sudan,2 129,23,41,1,Clusters of cases,0
Congo,2 028,207,47,0,Community transmission,0
Malawi,1 986,44,29,4,Clusters of cases,0
Zambia,1 895,0,42,0,Community transmission,2
Guinea-Bissau,1 790,0,25,0,Community transmission,3
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Sierra Leone,1 598,14,63,0,Community transmission,0
Cabo Verde,1 553,11,19,1,Clusters of cases,0
Benin,1 285,0,23,0,Community transmission,2
Eswatini,1 213,75,17,3,Clusters of cases,0
Rwanda,1 210,16,3,0,Sporadic cases,0
Niger,1 097,0,68,0,Community transmission,1
Mozambique,1 092,21,9,1,Clusters of cases,0
