,Total conformed cases,Total conformed new cases,Total deaths,Total new deaths
20200121,,,,
20200122,Total,,314.0,
20200123,,,,
20200124,,,,
20200125,,,,
20200126,Total,"2,014",,
20200127,,,,
20200128,,,,
20200129,,,,
20200130,Total,7818,,
20200131,Total,9826,,
20200201,Total,11953,,
20200202,Total,14557,,
20200203,,(2838),,
20200204,Emirates,,,
20200205,,,,
20200206,,20**(10),0(0),0(0)
20200207,conveyance(Japan),61**(41),,0(0)0(0)
20200208,conveyance(Japan),64**(3),,0(0)0(0)
20200209,conveyance(Japan),64**(0),,0(0)0(0)
20200210,conveyance(Japan),70**(6),0(0)0(0),70(6)
20200211,conveyance(Japan),135**(65),0(0)0(0),135(65)
20200212,conveyance(Japan),175**(40),0(0)1(1),174(39)
20200213,conveyance(Japan),174**(0),0(0)0(0),174(0)
20200214,,218**(44),0(0),0(0)
20200215,,218**(0),0(0),0(0)
20200216,,355(137),0(0),0(0)
20200217,,454‡‡(99),0(0),0(0)
20200218,,454‡‡(0),0(0),0(0)
20200219,,,,
20200220,,,,
20200221,1200(127),,175(0)20(4)320(95),685(28)
20200222,1402(202),177(2)44(24)484(163),697(13),11(3)
20200223,1769(367),,178(1)48(4)578(94),965(268)
20200224,2069(300),179(0)52(3)862(139),976(158),23(6)
20200225,2459(390),,179(0)94(38)981(5),1205(347)
20200226,2918(459),,179(0)131(37)988(7),929(415)
20200227,3664(746),181(2),200(71),1005(16)
20200228,4691(1027),67(10),,
20200229,6009(1318),86(19),,
20200301,7169(1160),104(18),,
20200302,,,,
20200303,,1792,166,38
20200304,,2103,214,48
20200305,14759,2089,266,53
20200306,17481,2727,335,69
20200307,21114,3633,413,78
20200308,24727,3610,484,71
20200309,28673,3948,686,202
20200310,32778,4105,872,186
20200311,37364,4589,1130,258
20200312,44279,6915,1440,310
20200313,51767,7488,1775,335
20200314,61513,9746,2198,423
20200315,72469,10955,2531,333
20200316,167515,13903,6606,862
20200317,179111,11525,7426,475
20200318,191127,15123,7807,786
20200319,209839,16556,8778,828
20200320,234073,24247,9840,1061
20200321,266073,32000,11183,1343
20200322,292142,26069,12783,1600
20200323,332930,40788,14509,1727
20200324,372755,39825,16231,1722
20200325,413467,40712,18433,2202
20200326,462684,49219,20834,2401
20200327,509164,46484,23335,2501
20200328,571659,62495,26493,3158
20200329,634813,63160,29891,3398
20200330,693282,58469,33106,3215
20200331,750890,57610,36405,3301
20200401,823626,72736,40598,4193
20200402,896475,72836,45525,4923
20200403,972303,75828,50321,4822
20200404,1051697,79394,56986,6665
20200405,1133758,82061,62784,5798
20200406,1210956,77200,67594,4810
20200407,1279722,68766,72614,5020
20200408,1353361,73639,79235,6695
20200409,1436198,82837,85521,6286
20200410,1521252,85054,92798,7277
20200411,1610909,89657,99690,6892
20200412,,,,
20200413,,,,
20200414,,,,
20200415,,,,
20200416,,,,
20200417,,,,
20200418,,,,
20200419,,,,
20200420,,,,
20200421,,,,
20200422,2471136,73920,169006,6058
20200423,2544792,73657,175694,6689
20200424,2626321,81529,181938,6260
20200425,2719896,93715,187705,5767
20200426,2804796,84900,193710,6006
20200427,2878196,85530,198668,4982
20200428,2954222,76026,202597,3932
20200429,Communitytransmission:Countries/area/territoriesexperiencinglargeroutbreaksoflocaltransmissiondefinedthroughanassessmentof,,,
20200430,,,,
20200501,3175207,84771,224172,6403
20200502,3267184,91977,229971,5799
20200503,3349786,82763,238628,8657
20200504,3435894,86108,239604,976
20200505,3517345,81454,243401,3797
20200506,3588773,71463,247503,4102
20200507,3672238,83465,254045,6539
20200508,3759967,87729,259474,5429
20200509,3855809,95866,265861,6387
20200510,3917366,61563,274361,8500
20200511,4006257,88891,278892,4531
20200512,4088848,82591,283153,4261
20200513,4170424,81577,287399,4245
20200514,4248389,77965,292046,4647
20200515,4338658,90269,297119,5073
20200516,4425485,86827,302059,4940
20200517,4525497,100012,307395,5336
20200518,4618821,93324,311847,4452
20200519,4711830,93009,315471,3624
20200520,cases,newcases,,
20200521,cases,newcases,,
20200522,4993470,100284,327738,4482
20200523,cases,newcases,,
20200524,cases,newcases,,
20200525,5304772,100264,342029,4342
20200526,,,,
20200527,5488825,84314,349095,5581
20200528,5593631,104505,353334,4221
20200529,5701337,107740,357688,4354
20200530,5817385,116048,362705,5017
20200531,5934936,117551,367166,4461
20200601,6057853,122917,371166,4000
20200602,6194533,113198,376320,4242
20200603,6287771,93246,379941,3621
20200604,6416828,129281,382867,4842
20200605,6535354,118526,387155,4288
20200606,6663304,127950,392802,5647
20200607,6799713,136409,397388,4586
20200608,6931000,131296,400857,3469
20200609,7039918,108918,404396,3539
20200610,7145539,105621,408025,3629
20200611,7273958,128419,413372,5347
20200612,7410510,136572,418294,4925
20200613,7553182,142672,423349,5055
20200614,7690708,137526,427630,4281
20200615,7823289,132581,431541,3911
20200616,7941791,118502,434796,3255
20200617,8061550,119759,440290,5494
20200618,8242999,181232,445535,5245
20200619,8385440,142451,450686,5151
20200620,8525042,138980,456973,6271
20200622,8860331,152323,465740,4025
20200623,8993659,133326,469587,3847
20200624,9129146,135212,473797,4187
20200625,9296202,167056,479133,5336
20200626,9473214,177012,484249,5116
20200627,9653048,179316,491128,6866
20200628,9843073,189077,495760,4612
20200629,10021401,178328,499913,4153
20200630,10185374,163865,503862,3946
20200621,8708008,183020,461715,4743
20200701,10357662,163939,508055,4188
20200702,10533779,176102,512842,4787
20200703,10710005,175723,517877,5032
20200704,10922324,212326,523011,5134
20200705,11125245,203836,528204,5195
20200706,11327790,202545,532340,4134
20200707,11500302,172512,535759,3419
20200708,11669259,168957,539906,4147
20200709,11874226,204967,545481,5575
20200710,12102328,228102,551046,5565
20200711,12322395,219983,556335,5286
